repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0,2,30,1808379211,278,16,16,20579,165,60052,0,30,0
1,2,P0+ipi-proc,2,30,1761880508,264,16,16,23124,145,60030,0,0,0
1,3,P0+ipi-thread,2,30,1759942499,16975,16,16,22022,137,60030,38252,38283,0
1,4,P5-irmao,2,30,1603193525,364,16,16,24637,131,60008,0,0,0
2,1,P0+ipi-thread,2,30,1760612555,26316,16,16,21551,137,60035,38422,38453,0
2,2,P5-irmao,2,30,1600576547,273,16,16,21440,132,60035,0,0,0
2,3,P0+ipi-proc,2,30,1762309423,314,16,16,22682,147,60030,0,26,0
2,4,P0,2,30,1808302387,270,16,16,36559,151,60044,0,6,0
3,1,P0+ipi-thread,2,30,1759736871,25704,16,16,22712,129,60040,38266,38273,0
3,2,P5-irmao,2,30,1605856691,284,16,16,21408,129,60034,0,24,0
3,3,P0,2,30,1808406234,290,16,16,20539,163,60057,0,0,0
3,4,P0+ipi-proc,2,30,1761658555,300,16,16,21982,140,60032,0,30,0
4,1,P0+ipi-proc,2,30,1761138356,239,16,16,20919,127,60047,0,0,0
4,2,P0+ipi-thread,2,30,1759507769,21734,16,16,21841,145,60018,38323,38354,0
4,3,P5-irmao,2,30,1605163743,279,16,16,21020,119,60026,0,0,0
4,4,P0,2,30,1808388877,266,16,16,22222,160,60070,0,12,0
5,1,P5-irmao,2,30,1607396880,295,16,16,23074,130,60020,0,0,0
5,2,P0,2,30,1808443170,282,16,16,20269,161,60027,0,24,0
5,3,P0+ipi-proc,2,30,1760972393,317,16,16,21019,142,60033,0,0,0
5,4,P0+ipi-thread,2,30,1759574011,20489,16,16,22783,134,60028,38131,38138,0
