# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         77127 
2          3153 
3           429 
4           151 
5            67 
6            43 
7            36 
8            15 
9            14 
10           18 
11          298 
12          165 
13           64 
14           67 
15           55 
16           15 
17            8 
18         1315 
19          802 
20          127 
21           16 
22            8 
23            2 
24            1 
27            1 
over:         1 
count:    83998 
min:          1 
avg:       1.63 
max:        288 
