repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1760380838,17281,16,16,22274,153,59854,38366,38365,0
1,2,P0,2,30,1808542011,297,16,16,23175,162,60035,0,30,0
1,3,P0+ipi-proc,2,30,1759384628,283,16,16,21030,151,60049,0,0,0
1,4,P5-irmao,2,30,1601610390,432,16,16,21350,134,60009,1,31,0
2,1,P0+ipi-thread,2,30,1759803862,18453,16,16,22563,150,60024,38346,38347,0
2,2,P0+ipi-proc,2,30,1760196950,102,16,16,28374,103,60054,0,24,0
2,3,P5-irmao,2,30,1603261286,429,16,16,43463,127,59967,0,6,0
2,4,P0,2,30,1808198158,303,16,16,26260,166,60056,0,2,0
3,1,P5-irmao,2,30,1603220112,399,16,16,23495,136,59999,0,24,0
3,2,P0+ipi-thread,2,30,1759465841,24746,16,16,21290,158,60055,37353,37354,0
3,3,P0,2,30,1808315111,300,16,16,21712,160,60037,0,24,0
3,4,P0+ipi-proc,2,30,1759769410,309,16,16,33253,158,60058,0,0,0
4,1,P0,2,30,1808323233,284,16,16,37401,162,60059,0,0,0
4,2,P0+ipi-proc,2,30,1758790427,305,16,16,23034,157,60041,0,0,0
4,3,P0+ipi-thread,2,30,1757817308,16022,16,16,21040,158,60034,38263,38282,0
4,4,P5-irmao,2,30,1605871457,288,16,16,22643,140,60004,0,0,0
5,1,P0+ipi-proc,2,30,1760745750,286,16,16,23595,148,60023,0,0,0
5,2,P0,2,30,1808480692,312,16,16,21000,172,60049,0,0,0
5,3,P5-irmao,2,30,1604437465,398,16,16,22253,118,59995,0,30,0
5,4,P0+ipi-thread,2,30,1759674900,24761,16,16,21161,144,60030,38344,38345,0
