  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.40 GHz

  amostra  ns/operacao   GHz
      254       0.3388   5.37
      255       0.3380   5.37
      256       0.3384   5.36
      257       0.3383   5.36
      258       0.3381   5.36
      259       0.3377   5.36
      260       0.3390   5.36
      261       0.3386   5.37
      262       0.3378   5.37
      263       0.3396   5.37
      264       0.3388   5.36
      265       0.3389   5.36
      266       0.3391   5.36
      267       0.3385   5.36
      268       0.3381   5.37
      269       0.3384   5.37
      270       0.3387   5.37
      271       0.3381   5.36
      272       0.3390   5.36
      273       0.3387   5.36
      274       0.3393   5.37
      275       0.3377   5.37
      276       0.3473   5.37
      277       0.3388   5.36
      278       0.3369   5.37
      279       0.3387   5.37
      280       0.3413   5.37
      281       0.3379   5.37
      282       0.3382   5.37
      283       0.3383   5.37
      284       0.3383   5.36
      285       0.3391   5.36
      286       0.3392   5.36
      287       0.3395   5.37
      288       0.3393   5.37
      289       0.3389   5.36
      290       0.3376   5.36
      291       0.3392   5.36
      292       0.3388   5.36
      293       0.3387   5.36
      294       0.3383   5.36
      295       0.3379   5.37
      296       0.3377   5.37
      297       0.3387   5.37
      298       0.3381   5.36
      299       0.3384   5.36
      300       0.3377   5.37
      301       0.3387   5.37
      302       0.3387   5.37
      303       0.3387   5.37
      304       0.3392   5.37
      305       0.3385   5.37
      306       0.3379   5.36
      307       0.3495   5.36
      308       0.3379   5.36
      309       0.3379   5.37
      310       0.3382   5.37
      311       0.3381   5.37
      312       0.3380   5.37
      313       0.3392   5.37
      314       0.3384   5.37
      315       0.3389   5.37
      316       0.3389   5.37
      317       0.3385   5.37
      318       0.3379   5.36
      319       0.3389   5.36
      320       0.3461   5.37
      321       0.3387   5.37
      322       0.3380   5.37
      323       0.3381   5.37
      324       0.3387   5.37
      325       0.3380   5.37
      326       0.3386   5.37
      327       0.3393   5.37
      328       0.3380   5.36
      329       0.3500   5.36
      330       0.3388   5.37
      331       0.3389   5.37
      332       0.3395   5.37
      333       0.3391   5.37
      334       0.3379   5.36
      335       0.3524   5.36
      336       0.3450   5.36
      337       0.3383   5.36
      338       0.3388   5.36
      339       0.3392   5.37
      340       0.3384   5.37
      341       0.3551   5.37
      342       0.3391   5.36
      343       0.3400   5.36
      344       0.3380   5.36
      345       0.3387   5.36
      346       0.3387   5.37
      347       0.3388   5.37
      348       0.3383   5.37
      349       0.3382   5.36
      350       0.3380   5.36
      351       0.3381   5.36
      352       0.3389   5.36
      353       0.3369   5.37
      354       0.3393   5.37
      355       0.3390   5.37
      356       0.3383   5.36
      357       0.3523   5.36
      358       0.3382   5.36
      359       0.3377   5.37
      360       0.3379   5.37
      361       0.3386   5.37
      362       0.3396   5.37
      363       0.3382   5.37
      364       0.3382   5.37
      365       0.3381   5.36
      366       0.3373   5.37
      367       0.3386   5.37
      368       0.3386   5.37
      369       0.3376   5.37
      370       0.3387   5.37
      371       0.3388   5.36
      372       0.3379   5.36
      373       0.3384   5.36
      374       0.3384   5.37
      375       0.3368   5.37
      376       0.3506   5.37
      377       0.3389   5.37
      378       0.3370   5.37
      379       0.3524   5.37
      380       0.3391   5.37
      381       0.3385   5.37
      382       0.3389   5.37
      383       0.3392   5.37
      384       0.3390   5.37
      385       0.3372   5.36
      386       0.3473   5.36
      387       0.3391   5.37
      388       0.3378   5.37
      389       0.3384   5.37
      390       0.3385   5.36
      391       0.3392   5.37
      392       0.3505   5.37
      393       0.3393   5.37
      394       0.3381   5.36
      395       0.3397   5.36
      396       0.3392   5.36
      397       0.3380   5.36
      398       0.3391   5.36
      399       0.3389   5.36
      400       0.3377   5.36
      401       0.3392   5.36
      402       0.3389   5.36
      403       0.3380   5.36
      404       0.3383   5.36
      405       0.3463   5.36
      406       0.3393   5.37
      407       0.3372   5.37
      408       0.3386   5.37
      409       0.3375   5.36
      410       0.3378   5.37
      411       0.3386   5.37
      412       0.3388   5.37
      413       0.3388   5.37
      414       0.3384   5.37
      415       0.3388   5.37
      416       0.3382   5.36
      417       0.3395   5.36
      418       0.3399   5.36
      419       0.3378   5.36
      420       0.3385   5.36
      421       0.3385   5.36
      422       0.3373   5.36
      423       0.3528   5.36
      424       0.3484   5.37
      425       0.3391   5.37
      426       0.3384   5.37
      427       0.3386   5.37
      428       0.3387   5.36
      429       0.3382   5.37
      430       0.3388   5.37
      431       0.3402   5.37
      432       0.3369   5.37
      433       0.3387   5.37
      434       0.3385   5.37
      435       0.3382   5.37
      436       0.3382   5.37
      437       0.3389   5.37
      438       0.3384   5.37
      439       0.3389   5.37
      440       0.3387   5.37
      441       0.3382   5.36
      442       0.3387   5.36
      443       0.3387   5.36
      444       0.3388   5.37
      445       0.3388   5.37
      446       0.3391   5.36
      447       0.3372   5.36
      448       0.3392   5.36
      449       0.3388   5.36
      450       0.3388   5.36
      451       0.3393   5.36
      452       0.3390   5.36
      453       0.3385   5.36
      454       0.3390   5.36
      455       0.3391   5.36
      456       0.3404   5.37
      457       0.3382   5.36
      458       0.3389   5.36
      459       0.3383   5.36
      460       0.3381   5.36
