repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
3,2,25.11,assimetrico,48,32144508,4391800000,2000000,3.6596
3,2,26.07,assimetrico,48,33270028,4391800000,2000000,3.7877
3,3,25.11,assimetrico,16,37929848,4391800000,2000000,4.3183
3,3,26.07,assimetrico,16,36840672,4391800000,2000000,4.1943
3,4,25.11,simetrico,96,15938076,4391800000,2000000,1.8145
3,4,26.07,simetrico,96,17199336,4391800000,2000000,1.9581
3,5,25.11,simetrico,16,20244972,4391800000,2000000,2.3049
3,5,26.07,simetrico,16,19203580,4391800000,2000000,2.1863
3,6,25.11,assimetrico,24,37486460,4391800000,2000000,4.2678
3,6,26.07,assimetrico,24,36585340,4391800000,2000000,4.1652
3,7,25.11,simetrico,128,15891832,4391800000,2000000,1.8093
3,7,26.07,simetrico,128,17130212,4391800000,2000000,1.9502
3,8,25.11,assimetrico,64,31713220,4391800000,2000000,3.6105
3,8,26.07,assimetrico,64,34825560,4391800000,2000000,3.9648
3,9,25.11,simetrico,0,18059888,4391800000,2000000,2.0561
3,9,26.07,simetrico,0,19187740,4391800000,2000000,2.1845
3,10,25.11,assimetrico,256,26097148,4391800000,2000000,2.9711
3,10,26.07,assimetrico,256,27387272,4391800000,2000000,3.1180
3,11,25.11,simetrico,32,15952332,4391800000,2000000,1.8161
3,11,26.07,simetrico,32,17159252,4391800000,2000000,1.9536
3,12,25.11,simetrico,64,15941772,4391800000,2000000,1.8149
3,12,26.07,simetrico,64,17177644,4391800000,2000000,1.9556
3,13,25.11,assimetrico,512,26388384,4391800000,2000000,3.0043
3,13,26.07,assimetrico,512,26374876,4391800000,2000000,3.0027
3,14,25.11,assimetrico,128,28152124,4391800000,2000000,3.2051
3,14,26.07,assimetrico,128,29486732,4391800000,2000000,3.3570
3,15,25.11,assimetrico,32,33318868,4391800000,2000000,3.7933
3,15,26.07,assimetrico,32,33388212,4391800000,2000000,3.8012
3,16,25.11,simetrico,24,15940276,4391800000,2000000,1.8148
3,16,26.07,simetrico,24,19193284,4391800000,2000000,2.1851
3,17,25.11,simetrico,512,16000028,4391800000,2000000,1.8216
3,17,26.07,simetrico,512,17157712,4391800000,2000000,1.9534
3,18,25.11,simetrico,48,16008300,4391800000,2000000,1.8225
3,18,26.07,simetrico,48,17172232,4391800000,2000000,1.9550
3,19,25.11,assimetrico,0,38604588,4391800000,2000000,4.3951
3,19,26.07,assimetrico,0,34982200,4391800000,2000000,3.9827
3,20,25.11,assimetrico,96,28211700,4391800000,2000000,3.2119
3,20,26.07,assimetrico,96,35619100,4391800000,2000000,4.0552
4,1,25.11,simetrico,64,15987312,4391800000,2000000,1.8201
4,1,26.07,simetrico,64,17165544,4391800000,2000000,1.9543
4,2,25.11,assimetrico,128,28675196,4391800000,2000000,3.2646
4,2,26.07,assimetrico,128,30110432,4391800000,2000000,3.4280
4,3,25.11,assimetrico,512,26381520,4391800000,2000000,3.0035
4,3,26.07,assimetrico,512,28020388,4391800000,2000000,3.1901
4,4,25.11,assimetrico,24,37503664,4391800000,2000000,4.2697
4,4,26.07,assimetrico,24,35893660,4391800000,2000000,4.0864
4,5,25.11,simetrico,0,18008804,4391800000,2000000,2.0503
4,5,26.07,simetrico,0,19425956,4391800000,2000000,2.2116
4,6,25.11,assimetrico,256,25942884,4391800000,2000000,2.9536
4,6,26.07,assimetrico,256,28520184,4391800000,2000000,3.2470
4,7,25.11,assimetrico,0,38226188,4391800000,2000000,4.3520
4,7,26.07,assimetrico,0,35756952,4391800000,2000000,4.0709
4,8,25.11,assimetrico,48,32463904,4391800000,2000000,3.6960
4,8,26.07,assimetrico,48,32730324,4391800000,2000000,3.7263
4,9,25.11,simetrico,32,15975520,4391800000,2000000,1.8188
4,9,26.07,simetrico,32,17027560,4391800000,2000000,1.9386
4,10,25.11,simetrico,24,16029244,4391800000,2000000,1.8249
4,10,26.07,simetrico,24,19165696,4391800000,2000000,2.1820
4,11,25.11,simetrico,48,15933456,4391800000,2000000,1.8140
4,11,26.07,simetrico,48,17156788,4391800000,2000000,1.9533
4,12,25.11,simetrico,256,15989512,4391800000,2000000,1.8204
4,12,26.07,simetrico,256,17189832,4391800000,2000000,1.9570
4,13,25.11,assimetrico,96,27941716,4391800000,2000000,3.1811
4,13,26.07,assimetrico,96,35239468,4391800000,2000000,4.0120
4,14,25.11,simetrico,96,15989732,4391800000,2000000,1.8204
4,14,26.07,simetrico,96,17138572,4391800000,2000000,1.9512
4,15,25.11,assimetrico,16,35816880,4391800000,2000000,4.0777
4,15,26.07,assimetrico,16,37023492,4391800000,2000000,4.2151
4,16,25.11,assimetrico,32,33088220,4391800000,2000000,3.7670
4,16,26.07,assimetrico,32,33121088,4391800000,2000000,3.7708
4,17,25.11,simetrico,512,15951848,4391800000,2000000,1.8161
4,17,26.07,simetrico,512,17175224,4391800000,2000000,1.9554
4,18,25.11,simetrico,128,15926812,4391800000,2000000,1.8132
4,18,26.07,simetrico,128,17142532,4391800000,2000000,1.9517
4,19,25.11,simetrico,16,20170568,4391800000,2000000,2.2964
4,19,26.07,simetrico,16,19140132,4391800000,2000000,2.1791
4,20,25.11,assimetrico,64,31842140,4391800000,2000000,3.6252
4,20,26.07,assimetrico,64,34374604,4391800000,2000000,3.9135
5,1,25.11,simetrico,96,15971736,4391800000,2000000,1.8184
5,1,26.07,simetrico,96,17162332,4391800000,2000000,1.9539
5,2,25.11,simetrico,48,15933324,4391800000,2000000,1.8140
5,2,26.07,simetrico,48,17132852,4391800000,2000000,1.9506
5,3,25.11,simetrico,512,16015868,4391800000,2000000,1.8234
5,3,26.07,simetrico,512,17150584,4391800000,2000000,1.9526
5,4,25.11,assimetrico,24,37528876,4391800000,2000000,4.2726
5,4,26.07,assimetrico,24,36069396,4391800000,2000000,4.1064
5,5,25.11,assimetrico,0,37447080,4391800000,2000000,4.2633
5,5,26.07,assimetrico,0,35623544,4391800000,2000000,4.0557
5,6,25.11,simetrico,24,15900764,4391800000,2000000,1.8103
5,6,26.07,simetrico,24,19489140,4391800000,2000000,2.2188
5,7,25.11,simetrico,16,20169468,4391800000,2000000,2.2963
5,7,26.07,simetrico,16,19434404,4391800000,2000000,2.2126
5,8,25.11,assimetrico,128,28352368,4391800000,2000000,3.2279
5,8,26.07,assimetrico,128,30545328,4391800000,2000000,3.4775
5,9,25.11,assimetrico,512,25935008,4391800000,2000000,2.9527
5,9,26.07,assimetrico,512,25920620,4391800000,2000000,2.9510
5,10,25.11,assimetrico,96,27625180,4391800000,2000000,3.1451
5,10,26.07,assimetrico,96,35540912,4391800000,2000000,4.0463
5,11,25.11,simetrico,64,16000688,4391800000,2000000,1.8217
5,11,26.07,simetrico,64,17110192,4391800000,2000000,1.9480
5,12,25.11,assimetrico,64,31307012,4391800000,2000000,3.5643
5,12,26.07,assimetrico,64,34461064,4391800000,2000000,3.9233
5,13,25.11,assimetrico,16,36229248,4391800000,2000000,4.1246
5,13,26.07,assimetrico,16,36740924,4391800000,2000000,4.1829
5,14,25.11,assimetrico,256,26497240,4391800000,2000000,3.0167
5,14,26.07,assimetrico,256,28019024,4391800000,2000000,3.1899
5,15,25.11,simetrico,0,18118100,4391800000,2000000,2.0627
5,15,26.07,simetrico,0,19606224,4391800000,2000000,2.2321
5,16,25.11,simetrico,128,15934996,4391800000,2000000,1.8142
5,16,26.07,simetrico,128,17146888,4391800000,2000000,1.9521
5,17,25.11,simetrico,32,15993604,4391800000,2000000,1.8208
5,17,26.07,simetrico,32,17164004,4391800000,2000000,1.9541
5,18,25.11,simetrico,256,16028716,4391800000,2000000,1.8248
5,18,26.07,simetrico,256,17181868,4391800000,2000000,1.9561
5,19,25.11,assimetrico,32,33201212,4391800000,2000000,3.7799
5,19,26.07,assimetrico,32,32724516,4391800000,2000000,3.7256
5,20,25.11,assimetrico,48,31848432,4391800000,2000000,3.6259
5,20,26.07,assimetrico,48,32875260,4391800000,2000000,3.7428
6,1,25.11,simetrico,96,15955808,4391800000,2000000,1.8165
6,1,26.07,simetrico,96,17109796,4391800000,2000000,1.9479
6,2,25.11,simetrico,64,15959812,4391800000,2000000,1.8170
6,2,26.07,simetrico,64,17139276,4391800000,2000000,1.9513
6,3,25.11,assimetrico,48,32917456,4391800000,2000000,3.7476
6,3,26.07,assimetrico,48,32093600,4391800000,2000000,3.6538
6,4,25.11,simetrico,32,15994748,4391800000,2000000,1.8210
6,4,26.07,simetrico,32,17161892,4391800000,2000000,1.9539
6,5,25.11,simetrico,256,15978776,4391800000,2000000,1.8192
6,5,26.07,simetrico,256,17175444,4391800000,2000000,1.9554
6,6,25.11,simetrico,0,18547584,4391800000,2000000,2.1116
6,6,26.07,simetrico,0,18977024,4391800000,2000000,2.1605
6,7,25.11,assimetrico,96,27552800,4391800000,2000000,3.1368
6,7,26.07,assimetrico,96,35650252,4391800000,2000000,4.0587
6,8,25.11,assimetrico,16,35241052,4391800000,2000000,4.0121
6,8,26.07,assimetrico,16,35931896,4391800000,2000000,4.0908
6,9,25.11,assimetrico,32,34065724,4391800000,2000000,3.8783
6,9,26.07,assimetrico,32,33290620,4391800000,2000000,3.7901
6,10,25.11,assimetrico,128,28040584,4391800000,2000000,3.1924
6,10,26.07,assimetrico,128,29317728,4391800000,2000000,3.3378
6,11,25.11,assimetrico,24,37990964,4391800000,2000000,4.3252
6,11,26.07,assimetrico,24,36226036,4391800000,2000000,4.1243
6,12,25.11,simetrico,24,16044292,4391800000,2000000,1.8266
6,12,26.07,simetrico,24,19098772,4391800000,2000000,2.1744
6,13,25.11,simetrico,16,20174792,4391800000,2000000,2.2969
6,13,26.07,simetrico,16,19154520,4391800000,2000000,2.1807
6,14,25.11,simetrico,128,15938252,4391800000,2000000,1.8145
6,14,26.07,simetrico,128,17150672,4391800000,2000000,1.9526
6,15,25.11,assimetrico,256,26561788,4391800000,2000000,3.0240
6,15,26.07,assimetrico,256,28004020,4391800000,2000000,3.1882
6,16,25.11,assimetrico,64,31259184,4391800000,2000000,3.5588
6,16,26.07,assimetrico,64,35028180,4391800000,2000000,3.9879
6,17,25.11,simetrico,48,15960912,4391800000,2000000,1.8171
6,17,26.07,simetrico,48,17204000,4391800000,2000000,1.9587
6,18,25.11,assimetrico,0,37605304,4391800000,2000000,4.2813
6,18,26.07,assimetrico,0,36056768,4391800000,2000000,4.1050
6,19,25.11,assimetrico,512,26394016,4391800000,2000000,3.0049
6,19,26.07,assimetrico,512,26309228,4391800000,2000000,2.9953
6,20,25.11,simetrico,512,15955060,4391800000,2000000,1.8165
6,20,26.07,simetrico,512,17142796,4391800000,2000000,1.9517
7,1,25.11,assimetrico,48,32835088,4391800000,2000000,3.7382
7,1,26.07,assimetrico,48,33023628,4391800000,2000000,3.7597
7,2,25.11,assimetrico,16,35806540,4391800000,2000000,4.0765
7,2,26.07,assimetrico,16,36634708,4391800000,2000000,4.1708
7,3,25.11,assimetrico,128,28468484,4391800000,2000000,3.2411
7,3,26.07,assimetrico,128,29780432,4391800000,2000000,3.3905
7,4,25.11,assimetrico,96,28200392,4391800000,2000000,3.2106
7,4,26.07,assimetrico,96,35311672,4391800000,2000000,4.0202
7,5,25.11,assimetrico,64,31717532,4391800000,2000000,3.6110
7,5,26.07,assimetrico,64,33862180,4391800000,2000000,3.8552
7,6,25.11,assimetrico,24,37323352,4391800000,2000000,4.2492
7,6,26.07,assimetrico,24,37589244,4391800000,2000000,4.2795
7,7,25.11,simetrico,512,15981416,4391800000,2000000,1.8195
7,7,26.07,simetrico,512,17125856,4391800000,2000000,1.9498
7,8,25.11,simetrico,64,15967644,4391800000,2000000,1.8179
7,8,26.07,simetrico,64,17162904,4391800000,2000000,1.9540
7,9,25.11,simetrico,96,15981372,4391800000,2000000,1.8195
7,9,26.07,simetrico,96,17145964,4391800000,2000000,1.9520
7,10,25.11,assimetrico,32,32804420,4391800000,2000000,3.7347
7,10,26.07,assimetrico,32,33475464,4391800000,2000000,3.8111
7,11,25.11,simetrico,16,20161196,4391800000,2000000,2.2953
7,11,26.07,simetrico,16,19251056,4391800000,2000000,2.1917
7,12,25.11,simetrico,0,18455448,4391800000,2000000,2.1011
7,12,26.07,simetrico,0,19376852,4391800000,2000000,2.2060
7,13,25.11,simetrico,32,15960120,4391800000,2000000,1.8170
7,13,26.07,simetrico,32,17160000,4391800000,2000000,1.9536
7,14,25.11,simetrico,128,15954532,4391800000,2000000,1.8164
7,14,26.07,simetrico,128,17101480,4391800000,2000000,1.9470
7,15,25.11,simetrico,48,15932840,4391800000,2000000,1.8139
7,15,26.07,simetrico,48,17167700,4391800000,2000000,1.9545
7,16,25.11,assimetrico,256,26551536,4391800000,2000000,3.0229
7,16,26.07,assimetrico,256,27719736,4391800000,2000000,3.1559
7,17,25.11,assimetrico,512,26002020,4391800000,2000000,2.9603
7,17,26.07,assimetrico,512,26392652,4391800000,2000000,3.0048
7,18,25.11,simetrico,24,15929804,4391800000,2000000,1.8136
7,18,26.07,simetrico,24,19178896,4391800000,2000000,2.1835
7,19,25.11,simetrico,256,15953388,4391800000,2000000,1.8163
7,19,26.07,simetrico,256,17177996,4391800000,2000000,1.9557
7,20,25.11,assimetrico,0,38306004,4391800000,2000000,4.3611
7,20,26.07,assimetrico,0,37296380,4391800000,2000000,4.2461
8,1,25.11,simetrico,32,15990524,4391800000,2000000,1.8205
8,1,26.07,simetrico,32,17214956,4391800000,2000000,1.9599
8,2,25.11,assimetrico,512,25906188,4391800000,2000000,2.9494
8,2,26.07,assimetrico,512,25969636,4391800000,2000000,2.9566
8,3,25.11,simetrico,512,15938384,4391800000,2000000,1.8146
8,3,26.07,simetrico,512,17121500,4391800000,2000000,1.9493
8,4,25.11,assimetrico,256,26841980,4391800000,2000000,3.0559
8,4,26.07,assimetrico,256,27832244,4391800000,2000000,3.1687
8,5,25.11,simetrico,96,16003724,4391800000,2000000,1.8220
8,5,26.07,simetrico,96,17154896,4391800000,2000000,1.9531
8,6,25.11,assimetrico,96,27810464,4391800000,2000000,3.1662
8,6,26.07,assimetrico,96,36074544,4391800000,2000000,4.1070
8,7,25.11,assimetrico,64,31712208,4391800000,2000000,3.6104
8,7,26.07,assimetrico,64,34584924,4391800000,2000000,3.9374
8,8,25.11,assimetrico,32,32940336,4391800000,2000000,3.7502
8,8,26.07,assimetrico,32,32996920,4391800000,2000000,3.7567
8,9,25.11,assimetrico,24,37499396,4391800000,2000000,4.2693
8,9,26.07,assimetrico,24,36484052,4391800000,2000000,4.1537
8,10,25.11,simetrico,256,15946656,4391800000,2000000,1.8155
8,10,26.07,simetrico,256,17210292,4391800000,2000000,1.9594
8,11,25.11,simetrico,0,17856476,4391800000,2000000,2.0329
8,11,26.07,simetrico,0,19468504,4391800000,2000000,2.2165
8,12,25.11,simetrico,48,15969140,4391800000,2000000,1.8181
8,12,26.07,simetrico,48,17218916,4391800000,2000000,1.9603
8,13,25.11,assimetrico,16,36245924,4391800000,2000000,4.1265
8,13,26.07,assimetrico,16,36589828,4391800000,2000000,4.1657
8,14,25.11,assimetrico,128,28187280,4391800000,2000000,3.2091
8,14,26.07,assimetrico,128,29573632,4391800000,2000000,3.3669
8,15,25.11,assimetrico,48,32654468,4391800000,2000000,3.7177
8,15,26.07,assimetrico,48,32653544,4391800000,2000000,3.7176
8,16,25.11,assimetrico,0,38905944,4391800000,2000000,4.4294
8,16,26.07,assimetrico,0,35664508,4391800000,2000000,4.0604
8,17,25.11,simetrico,24,16017716,4391800000,2000000,1.8236
