# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         42715 
2          1300 
3           179 
4            31 
5            13 
6             3 
7            16 
8             9 
9             2 
10            6 
11          262 
12          255 
13           38 
14           63 
15           27 
16            3 
17            3 
18         1479 
19          833 
20           49 
21            4 
22            3 
24            2 
27            1 
31            1 
over:         0 
count:    47297 
min:          1 
avg:       2.07 
max:         31 
