# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         73315 
2          2283 
3           274 
4            79 
5            36 
6            24 
7            33 
8            20 
9             5 
10           11 
11          320 
12          156 
13           43 
14           61 
15           45 
16           11 
17            5 
18         1445 
19          733 
20           59 
21           10 
22            4 
23            1 
over:         0 
count:    78973 
min:          1 
avg:       1.63 
max:         23 
