repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0,2,30,1808207848,312,16,16,21872,164,60039,0,0,0
1,2,P5-irmao,2,30,1610908885,381,16,16,21692,140,60000,0,30,0
1,3,P0+ipi-proc,2,30,1765270651,352,16,16,23094,148,60036,0,0,0
1,4,P0+ipi-thread,2,30,1763193249,17623,16,16,23755,147,60046,37552,37583,0
2,1,P0+ipi-thread,2,30,1762967006,12735,16,16,18505,111,60047,37921,37922,0
2,2,P0+ipi-proc,2,30,1764364075,98,16,16,20780,98,60025,0,24,0
2,3,P5-irmao,2,30,1610715208,330,16,16,21210,139,59988,0,0,0
2,4,P0,2,30,1808055052,303,16,16,21742,157,60048,0,26,0
3,1,P5-irmao,2,30,1609468432,315,16,16,40597,138,60049,0,6,0
3,2,P0,2,30,1808402149,258,16,16,20339,153,60060,0,0,0
3,3,P0+ipi-thread,2,30,1763725789,21395,16,16,21040,154,60039,38626,38657,0
3,4,P0+ipi-proc,2,30,1764481153,95,16,16,21260,95,60031,0,0,0
4,1,P0+ipi-thread,2,30,1763259331,10989,16,16,16591,91,60044,38649,38668,0
4,2,P0,2,30,1808607237,302,16,16,20569,156,60019,0,0,0
4,3,P0+ipi-proc,2,30,1764146039,372,16,16,22363,147,60050,0,18,0
4,4,P5-irmao,2,30,1607317888,321,16,16,21300,137,60024,0,0,0
5,1,P0+ipi-thread,2,30,1763997077,23980,16,16,20909,147,60034,38411,38418,0
5,2,P5-irmao,2,30,1607203728,332,16,16,21882,133,60055,0,0,0
5,3,P0,2,30,1808240912,306,16,16,22092,162,60050,0,18,0
5,4,P0+ipi-proc,2,30,1765177414,290,16,16,23385,148,60029,0,0,0
