repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,assimetrico,32,32859596,4391800000,2000000,3.7410
1,1,26.07,assimetrico,32,32874380,4391800000,2000000,3.7427
1,2,25.11,assimetrico,48,32363716,4391800000,2000000,3.6846
1,2,26.07,assimetrico,48,33185108,4391800000,2000000,3.7781
1,3,25.11,simetrico,32,15978952,4391800000,2000000,1.8192
1,3,26.07,simetrico,32,17126384,4391800000,2000000,1.9498
1,4,25.11,assimetrico,512,26015044,4391800000,2000000,2.9618
1,4,26.07,assimetrico,512,27267416,4391800000,2000000,3.1044
1,5,25.11,assimetrico,0,38843728,4391800000,2000000,4.4223
1,5,26.07,assimetrico,0,35682196,4391800000,2000000,4.0624
1,6,25.11,assimetrico,16,35780008,4391800000,2000000,4.0735
1,6,26.07,assimetrico,16,35651660,4391800000,2000000,4.0589
1,7,25.11,assimetrico,128,28241444,4391800000,2000000,3.2152
1,7,26.07,assimetrico,128,31420224,4391800000,2000000,3.5771
1,8,25.11,simetrico,96,15948812,4391800000,2000000,1.8157
1,8,26.07,simetrico,96,17156920,4391800000,2000000,1.9533
1,9,25.11,simetrico,256,15906132,4391800000,2000000,1.8109
1,9,26.07,simetrico,256,17120004,4391800000,2000000,1.9491
1,10,25.11,simetrico,48,15877752,4391800000,2000000,1.8077
1,10,26.07,simetrico,48,17064432,4391800000,2000000,1.9428
1,11,25.11,simetrico,0,17734904,4391800000,2000000,2.0191
1,11,26.07,simetrico,0,18845244,4391800000,2000000,2.1455
1,12,25.11,simetrico,128,15913656,4391800000,2000000,1.8117
1,12,26.07,simetrico,128,17121984,4391800000,2000000,1.9493
1,13,25.11,simetrico,512,15904152,4391800000,2000000,1.8107
1,13,26.07,simetrico,512,17075476,4391800000,2000000,1.9440
1,14,25.11,simetrico,24,15963156,4391800000,2000000,1.8174
1,14,26.07,simetrico,24,19239660,4391800000,2000000,2.1904
1,15,25.11,simetrico,64,15921092,4391800000,2000000,1.8126
1,15,26.07,simetrico,64,17250596,4391800000,2000000,1.9640
1,16,25.11,assimetrico,256,26213572,4391800000,2000000,2.9844
1,16,26.07,assimetrico,256,27367164,4391800000,2000000,3.1157
1,17,25.11,assimetrico,24,37047208,4391800000,2000000,4.2178
1,17,26.07,assimetrico,24,37081880,4391800000,2000000,4.2217
1,18,25.11,assimetrico,64,31474080,4391800000,2000000,3.5833
1,18,26.07,assimetrico,64,34583912,4391800000,2000000,3.9373
1,19,25.11,assimetrico,96,27590156,4391800000,2000000,3.1411
1,19,26.07,assimetrico,96,35189704,4391800000,2000000,4.0063
1,20,25.11,simetrico,16,20088112,4391800000,2000000,2.2870
1,20,26.07,simetrico,16,19121344,4391800000,2000000,2.1769
2,1,25.11,assimetrico,0,38960416,4391800000,2000000,4.4356
2,1,26.07,assimetrico,0,35549316,4391800000,2000000,4.0472
2,2,25.11,simetrico,256,15962716,4391800000,2000000,1.8173
2,2,26.07,simetrico,256,16998344,4391800000,2000000,1.9352
2,3,25.11,simetrico,64,15908948,4391800000,2000000,1.8112
2,3,26.07,simetrico,64,17126384,4391800000,2000000,1.9498
2,4,25.11,assimetrico,24,37099172,4391800000,2000000,4.2237
2,4,26.07,assimetrico,24,35408692,4391800000,2000000,4.0312
2,5,25.11,simetrico,512,15900720,4391800000,2000000,1.8103
2,5,26.07,simetrico,512,17089512,4391800000,2000000,1.9456
2,6,25.11,assimetrico,256,26566012,4391800000,2000000,3.0245
2,6,26.07,assimetrico,256,27337288,4391800000,2000000,3.1123
2,7,25.11,assimetrico,64,31832504,4391800000,2000000,3.6241
2,7,26.07,assimetrico,64,35080936,4391800000,2000000,3.9939
2,8,25.11,simetrico,96,15961352,4391800000,2000000,1.8172
2,8,26.07,simetrico,96,17111996,4391800000,2000000,1.9482
2,9,25.11,simetrico,32,15982824,4391800000,2000000,1.8196
2,9,26.07,simetrico,32,17088060,4391800000,2000000,1.9455
2,10,25.11,assimetrico,48,32164264,4391800000,2000000,3.6619
2,10,26.07,assimetrico,48,33176484,4391800000,2000000,3.7771
2,11,25.11,assimetrico,128,29051880,4391800000,2000000,3.3075
2,11,26.07,assimetrico,128,29335680,4391800000,2000000,3.3398
