repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
3,2,25.11,assimetrico,48,41951096,4391800000,2000000,4.7761
3,2,26.07,assimetrico,48,43820788,4391800000,2000000,4.9889
3,3,25.11,assimetrico,128,36746820,4391800000,2000000,4.1836
3,3,26.07,assimetrico,128,40829800,4391800000,2000000,4.6484
3,4,25.11,assimetrico,16,47516612,4391800000,2000000,5.4097
3,4,26.07,assimetrico,16,47599464,4391800000,2000000,5.4191
3,5,25.11,simetrico,24,20715068,4391800000,2000000,2.3584
3,5,26.07,simetrico,24,24767160,4391800000,2000000,2.8197
3,6,25.11,assimetrico,64,40796844,4391800000,2000000,4.6447
3,6,26.07,assimetrico,64,44399696,4391800000,2000000,5.0548
3,7,25.11,assimetrico,0,50234712,4391800000,2000000,5.7191
3,7,26.07,assimetrico,0,46411288,4391800000,2000000,5.2839
3,8,25.11,assimetrico,24,49492960,4391800000,2000000,5.6347
3,8,26.07,assimetrico,24,46224596,4391800000,2000000,5.2626
3,9,25.11,assimetrico,32,43660540,4391800000,2000000,4.9707
3,9,26.07,assimetrico,32,43067332,4391800000,2000000,4.9032
3,10,25.11,simetrico,0,22938432,4391800000,2000000,2.6115
3,10,26.07,simetrico,0,24420396,4391800000,2000000,2.7802
3,11,25.11,simetrico,64,20630060,4391800000,2000000,2.3487
3,11,26.07,simetrico,64,22135036,4391800000,2000000,2.5200
3,12,25.11,simetrico,32,20616728,4391800000,2000000,2.3472
3,12,26.07,simetrico,32,22194700,4391800000,2000000,2.5268
3,13,25.11,simetrico,256,20674280,4391800000,2000000,2.3537
3,13,26.07,simetrico,256,22179036,4391800000,2000000,2.5251
3,14,25.11,simetrico,128,20581132,4391800000,2000000,2.3431
3,14,26.07,simetrico,128,22191356,4391800000,2000000,2.5265
3,15,25.11,simetrico,96,20619192,4391800000,2000000,2.3475
3,15,26.07,simetrico,96,22224180,4391800000,2000000,2.5302
3,16,25.11,assimetrico,96,36095224,4391800000,2000000,4.1094
3,16,26.07,assimetrico,96,47054172,4391800000,2000000,5.3570
3,17,25.11,simetrico,48,20572332,4391800000,2000000,2.3421
3,17,26.07,simetrico,48,22122716,4391800000,2000000,2.5186
3,18,25.11,assimetrico,512,34743896,4391800000,2000000,3.9555
3,18,26.07,assimetrico,512,33456368,4391800000,2000000,3.8090
3,19,25.11,simetrico,512,20700416,4391800000,2000000,2.3567
3,19,26.07,simetrico,512,22553652,4391800000,2000000,2.5677
3,20,25.11,assimetrico,256,35010932,4391800000,2000000,3.9859
3,20,26.07,assimetrico,256,36541340,4391800000,2000000,4.1602
4,1,25.11,assimetrico,0,49049044,4391800000,2000000,5.5842
4,1,26.07,assimetrico,0,47211428,4391800000,2000000,5.3750
4,2,25.11,assimetrico,24,49332536,4391800000,2000000,5.6164
4,2,26.07,assimetrico,24,48160684,4391800000,2000000,5.4830
4,3,25.11,simetrico,64,20608324,4391800000,2000000,2.3462
4,3,26.07,simetrico,64,22174284,4391800000,2000000,2.5245
4,4,25.11,assimetrico,256,35114024,4391800000,2000000,3.9977
4,4,26.07,assimetrico,256,36384788,4391800000,2000000,4.1424
4,5,25.11,simetrico,32,20557944,4391800000,2000000,2.3405
4,5,26.07,simetrico,32,22137852,4391800000,2000000,2.5204
4,6,25.11,simetrico,128,20620996,4391800000,2000000,2.3477
4,6,26.07,simetrico,128,22161920,4391800000,2000000,2.5231
4,7,25.11,assimetrico,16,46633488,4391800000,2000000,5.3092
4,7,26.07,assimetrico,16,46980076,4391800000,2000000,5.3486
4,8,25.11,simetrico,48,20635956,4391800000,2000000,2.3494
4,8,26.07,simetrico,48,22183700,4391800000,2000000,2.5256
4,9,25.11,simetrico,24,20608852,4391800000,2000000,2.3463
4,9,26.07,simetrico,24,24662880,4391800000,2000000,2.8078
4,10,25.11,simetrico,256,20696104,4391800000,2000000,2.3562
4,10,26.07,simetrico,256,22167772,4391800000,2000000,2.5238
4,11,25.11,assimetrico,96,36144284,4391800000,2000000,4.1150
4,11,26.07,assimetrico,96,45637768,4391800000,2000000,5.1958
4,12,25.11,assimetrico,32,43945352,4391800000,2000000,5.0031
4,12,26.07,assimetrico,32,42798404,4391800000,2000000,4.8725
4,13,25.11,simetrico,16,26160552,4391800000,2000000,2.9783
4,13,26.07,simetrico,16,24688972,4391800000,2000000,2.8108
4,14,25.11,assimetrico,48,42801000,4391800000,2000000,4.8728
4,14,26.07,assimetrico,48,42815520,4391800000,2000000,4.8745
4,15,25.11,simetrico,512,20680088,4391800000,2000000,2.3544
4,15,26.07,simetrico,512,22181456,4391800000,2000000,2.5253
4,16,25.11,simetrico,96,20592308,4391800000,2000000,2.3444
4,16,26.07,simetrico,96,22226072,4391800000,2000000,2.5304
4,17,25.11,simetrico,0,23852928,4391800000,2000000,2.7156
4,17,26.07,simetrico,0,24346960,4391800000,2000000,2.7719
