# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         44000 
2          1418 
3            91 
4            23 
5            17 
6             6 
7            14 
8             8 
9             1 
10            7 
11          345 
12          197 
13           25 
14           59 
15           16 
16            5 
17            4 
18         1641 
19          518 
20           32 
21           10 
22            5 
25            1 
28            2 
38            1 
43            2 
58            1 
73            1 
81            1 
over:         0 
count:    48451 
min:          1 
avg:       1.98 
max:         81 
