  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1790 ns  (5.59 GHz)
  frequencia lida do sysfs no mesmo instante:         5.58 GHz

  amostra  ns/operacao   GHz
      254       0.2032   5.52
      255       0.2033   5.52
      256       0.2038   5.52
      257       0.2032   5.52
      258       0.2039   5.52
      259       0.2032   5.52
      260       0.2033   5.52
      261       0.2039   5.52
      262       0.2032   5.52
      263       0.2038   5.52
      264       0.2032   5.52
      265       0.2033   5.52
      266       0.2039   5.52
      267       0.2032   5.52
      268       0.2038   5.52
      269       0.2032   5.52
      270       0.2033   5.52
      271       0.2040   5.52
      272       0.2032   5.52
      273       0.2039   5.52
      274       0.2032   5.52
      275       0.2038   5.52
      276       0.2031   5.52
      277       0.2032   5.52
      278       0.2038   5.52
      279       0.2033   5.52
      280       0.2038   5.52
      281       0.2032   5.52
      282       0.2033   5.52
      283       0.2039   5.52
      284       0.2032   5.52
      285       0.2038   5.52
      286       0.2031   5.52
      287       0.2033   5.52
      288       0.2038   5.52
      289       0.2033   5.52
      290       0.2038   5.52
      291       0.2033   5.52
      292       0.2033   5.52
      293       0.2038   5.52
      294       0.2033   5.52
      295       0.2039   5.52
      296       0.2035   5.52
      297       0.2035   5.52
      298       0.2032   5.51
      299       0.2033   5.51
      300       0.2037   5.51
      301       0.2033   5.52
      302       0.2038   5.52
      303       0.2032   5.52
      304       0.2033   5.52
      305       0.2040   5.52
      306       0.2033   5.52
      307       0.2041   5.52
      308       0.2033   5.51
      309       0.2032   5.51
      310       0.2039   5.51
      311       0.2033   5.52
      312       0.2039   5.52
      313       0.2032   5.52
      314       0.2032   5.52
      315       0.2038   5.52
      316       0.2033   5.52
      317       0.2039   5.52
      318       0.2032   5.52
      319       0.2034   5.52
      320       0.2037   5.52
      321       0.2033   5.52
      322       0.2038   5.52
      323       0.2034   5.52
      324       0.2040   5.52
      325       0.2034   5.52
      326       0.2032   5.52
      327       0.2039   5.52
      328       0.2033   5.51
      329       0.2039   5.51
      330       0.2032   5.52
      331       0.2033   5.52
      332       0.2037   5.52
      333       0.2032   5.52
      334       0.2038   5.52
      335       0.2032   5.52
      336       0.2034   5.52
      337       0.2040   5.52
      338       0.2033   5.51
      339       0.2039   5.51
      340       0.2034   5.51
      341       0.2032   5.51
      342       0.2037   5.51
      343       0.2032   5.51
      344       0.2039   5.51
      345       0.2032   5.52
      346       0.2039   5.52
      347       0.2034   5.51
      348       0.2033   5.51
      349       0.2038   5.51
      350       0.2033   5.51
      351       0.2039   5.51
      352       0.2033   5.52
      353       0.2033   5.52
      354       0.2038   5.52
      355       0.2033   5.52
      356       0.2038   5.52
      357       0.2032   5.52
      358       0.2032   5.52
      359       0.2039   5.52
      360       0.2032   5.52
      361       0.2040   5.52
      362       0.2033   5.52
      363       0.2032   5.52
      364       0.2038   5.52
      365       0.2033   5.52
      366       0.2037   5.52
      367       0.2032   5.52
      368       0.2038   5.52
      369       0.2032   5.52
      370       0.2032   5.52
      371       0.2038   5.52
      372       0.2033   5.52
      373       0.2040   5.52
      374       0.2033   5.51
      375       0.2034   5.51
      376       0.2039   5.51
      377       0.2032   5.51
      378       0.2038   5.51
      379       0.2033   5.52
      380       0.2033   5.52
      381       0.2038   5.52
      382       0.2032   5.52
      383       0.2038   5.52
      384       0.2032   5.52
      385       0.2033   5.52
      386       0.2037   5.52
      387       0.2032   5.52
