  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.43 GHz

  amostra  ns/operacao   GHz
      254       0.3353   5.37
      255       0.3346   5.37
      256       0.3362   5.37
      257       0.3355   5.37
      258       0.3349   5.37
      259       0.3354   5.37
      260       0.3358   5.37
      261       0.3345   5.37
      262       0.3360   5.37
      263       0.3364   5.37
      264       0.3353   5.37
      265       0.3363   5.37
      266       0.3361   5.37
      267       0.3346   5.37
      268       0.3355   5.37
      269       0.3363   5.37
      270       0.3356   5.37
      271       0.3357   5.37
      272       0.3364   5.36
      273       0.3346   5.37
      274       0.3353   5.37
      275       0.3353   5.37
      276       0.3352   5.36
      277       0.3355   5.36
      278       0.3358   5.36
      279       0.3361   5.36
      280       0.3358   5.36
      281       0.3361   5.37
      282       0.3360   5.37
      283       0.3363   5.37
      284       0.3346   5.37
      285       0.3346   5.37
      286       0.3359   5.37
      287       0.3350   5.37
      288       0.3347   5.37
      289       0.3351   5.37
      290       0.3357   5.36
      291       0.3360   5.37
      292       0.3334   5.37
      293       0.3354   5.37
      294       0.3357   5.37
      295       0.3349   5.36
      296       0.3357   5.36
      297       0.3353   5.37
      298       0.3348   5.37
      299       0.3358   5.37
      300       0.3361   5.37
      301       0.3360   5.37
      302       0.3365   5.37
      303       0.3359   5.37
      304       0.3352   5.37
      305       0.3354   5.37
      306       0.3358   5.37
      307       0.3345   5.37
      308       0.3355   5.37
      309       0.3354   5.37
      310       0.3343   5.37
      311       0.3358   5.37
      312       0.3355   5.37
      313       0.3351   5.36
      314       0.3359   5.36
      315       0.3460   5.37
      316       0.3354   5.37
      317       0.3355   5.37
      318       0.3355   5.37
      319       0.3357   5.37
      320       0.3361   5.37
      321       0.3354   5.37
      322       0.3339   5.37
      323       0.3366   5.37
      324       0.3363   5.37
      325       0.3358   5.37
      326       0.3361   5.37
      327       0.3356   5.37
      328       0.3347   5.37
      329       0.3367   5.37
      330       0.3359   5.36
      331       0.3352   5.36
      332       0.3354   5.36
      333       0.3351   5.36
      334       0.3345   5.37
      335       0.3354   5.36
      336       0.3359   5.36
      337       0.3362   5.36
      338       0.3358   5.37
      339       0.3360   5.37
      340       0.3359   5.37
      341       0.3342   5.37
      342       0.3351   5.37
      343       0.3359   5.37
      344       0.3355   5.37
      345       0.3356   5.37
      346       0.3349   5.37
      347       0.3339   5.37
      348       0.3364   5.37
      349       0.3355   5.37
      350       0.3350   5.37
      351       0.3359   5.37
      352       0.3353   5.37
      353       0.3346   5.37
      354       0.3353   5.37
      355       0.3355   5.37
      356       0.3359   5.37
      357       0.3361   5.37
      358       0.3365   5.37
      359       0.3359   5.37
      360       0.3362   5.37
      361       0.3358   5.37
      362       0.3349   5.37
      363       0.3360   5.37
      364       0.3361   5.37
      365       0.3351   5.37
      366       0.3359   5.37
      367       0.3352   5.37
      368       0.3341   5.37
      369       0.3356   5.37
      370       0.3356   5.37
      371       0.3345   5.37
      372       0.3365   5.37
      373       0.3363   5.37
      374       0.3346   5.37
      375       0.3353   5.37
      376       0.3348   5.37
      377       0.3350   5.37
      378       0.3358   5.37
      379       0.3357   5.37
      380       0.3346   5.37
      381       0.3360   5.37
      382       0.3358   5.37
      383       0.3359   5.37
      384       0.3354   5.37
      385       0.3358   5.37
      386       0.3364   5.37
      387       0.3350   5.37
      388       0.3362   5.37
      389       0.3356   5.37
      390       0.3351   5.37
      391       0.3358   5.37
      392       0.3358   5.37
      393       0.3349   5.37
      394       0.3349   5.37
      395       0.3355   5.37
      396       0.3343   5.37
      397       0.3351   5.37
      398       0.3344   5.37
      399       0.3341   5.37
      400       0.3363   5.37
      401       0.3366   5.37
      402       0.3357   5.37
      403       0.3360   5.37
      404       0.3354   5.37
      405       0.3345   5.37
      406       0.3356   5.37
      407       0.3350   5.36
      408       0.3355   5.36
      409       0.3343   5.36
      410       0.3350   5.37
      411       0.3333   5.37
      412       0.3354   5.37
      413       0.3347   5.37
      414       0.3343   5.37
      415       0.3355   5.37
      416       0.3356   5.37
      417       0.3347   5.37
      418       0.3356   5.37
      419       0.3354   5.37
      420       0.3329   5.37
      421       0.3354   5.37
      422       0.3363   5.37
      423       0.3354   5.37
      424       0.3357   5.37
      425       0.3353   5.37
      426       0.3355   5.37
      427       0.3366   5.37
      428       0.3361   5.37
      429       0.3333   5.37
      430       0.3360   5.37
      431       0.3360   5.37
      432       0.3345   5.37
      433       0.3364   5.37
      434       0.3365   5.37
      435       0.3357   5.37
      436       0.3348   5.36
      437       0.3349   5.36
      438       0.3356   5.36
      439       0.3344   5.36
      440       0.3354   5.36
      441       0.3360   5.37
      442       0.3353   5.37
      443       0.3361   5.37
      444       0.3374   5.37
      445       0.3360   5.37
      446       0.3362   5.37
      447       0.3354   5.37
      448       0.3346   5.37
      449       0.3363   5.37
      450       0.3357   5.37
      451       0.3353   5.37
      452       0.3366   5.37
      453       0.3360   5.36
      454       0.3346   5.36
      455       0.3357   5.36
      456       0.3365   5.36
      457       0.3360   5.36
      458       0.3362   5.36
      459       0.3351   5.37
      460       0.3345   5.37
      461       0.3351   5.37
      462       0.3354   5.37
      463       0.3356   5.37
      464       0.3350   5.37
      465       0.3352   5.37
      466       0.3346   5.37
      467       0.3353   5.37
      468       0.3356   5.37
      469       0.3353   5.37
      470       0.3355   5.37
      471       0.3363   5.37
      472       0.3340   5.37
      473       0.3362   5.37
      474       0.3365   5.37
      475       0.3356   5.37
      476       0.3364   5.37
      477       0.3365   5.37
      478       0.3360   5.36
      479       0.3353   5.36
      480       0.3350   5.36
      481       0.3354   5.36
      482       0.3346   5.37
      483       0.3362   5.37
      484       0.3361   5.37
      485       0.3353   5.37
      486       0.3364   5.37
      487       0.3351   5.37
      488       0.3350   5.37
      489       0.3365   5.37
      490       0.3363   5.37
      491       0.3348   5.37
      492       0.3359   5.37
      493       0.3352   5.37
      494       0.3343   5.37
      495       0.3355   5.37
      496       0.3359   5.36
      497       0.3354   5.37
      498       0.3361   5.37
      499       0.3350   5.37
      500       0.3342   5.37
      501       0.3364   5.37
      502       0.3362   5.36
      503       0.3346   5.36
      504       0.3358   5.36
      505       0.3356   5.36
      506       0.3355   5.37
      507       0.3363   5.37
      508       0.3361   5.36
      509       0.3349   5.37
      510       0.3356   5.37
      511       0.3353   5.37
      512       0.3351   5.37
      513       0.3353   5.37
      514       0.3356   5.37
      515       0.3351   5.37
      516       0.3360   5.37
      517       0.3362   5.37
      518       0.3362   5.37
      519       0.3359   5.37
      520       0.3353   5.37
      521       0.3356   5.37
      522       0.3358   5.37
      523       0.3357   5.36
      524       0.3352   5.37
      525       0.3355   5.37
      526       0.3374   5.37
      527       0.3364   5.37
      528       0.3354   5.37
      529       0.3361   5.37
      530       0.3358   5.36
      531       0.3335   5.36
      532       0.3355   5.36
      533       0.3357   5.37
      534       0.3350   5.37
      535       0.3362   5.37
      536       0.3356   5.37
      537       0.3347   5.37
      538       0.3356   5.37
      539       0.3360   5.37
      540       0.3358   5.37
      541       0.3371   5.37
      542       0.3367   5.37
      543       0.3353   5.37
      544       0.3355   5.37
      545       0.3360   5.36
      546       0.3350   5.36
      547       0.3361   5.36
      548       0.3357   5.36
      549       0.3359   5.36
      550       0.3364   5.36
      551       0.3356   5.37
      552       0.3352   5.37
      553       0.3369   5.37
      554       0.3362   5.36
      555       0.3357   5.36
      556       0.3357   5.36
      557       0.3353   5.37
      558       0.3353   5.37
      559       0.3354   5.37
      560       0.3358   5.37
      561       0.3354   5.37
      562       0.3364   5.37
      563       0.3367   5.37
      564       0.3356   5.37
      565       0.3363   5.37
      566       0.3368   5.37
      567       0.3357   5.37
      568       0.3352   5.37
      569       0.3358   5.37
      570       0.3358   5.36
      571       0.3347   5.36
      572       0.3357   5.36
      573       0.3359   5.37
      574       0.3786   5.36
      575       0.3358   5.36
      576       0.3356   5.36
      577       0.3367   5.37
      578       0.3365   5.37
      579       0.3361   5.37
      580       0.3346   5.37
      581       0.3358   5.37
      582       0.3358   5.36
      583       0.3350   5.37
      584       0.3356   5.37
      585       0.3361   5.37
      586       0.3347   5.36
      587       0.3354   5.36
