repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-proc,2,30,1756591348,314,16,16,22192,148,60034,0,0,0
1,2,P0,2,30,1804821643,292,16,16,20128,156,60051,0,24,0
1,3,P0+ipi-thread,2,30,1752723438,17971,16,16,23845,145,60058,37989,37990,0
1,4,P5-irmao,2,30,1595082975,354,16,16,22382,138,60033,0,30,0
2,1,P0+ipi-proc,2,30,1755574753,79,16,16,13525,80,60036,0,0,0
2,2,P0,2,30,1804197218,298,16,16,21721,170,60038,0,30,0
2,3,P0+ipi-thread,2,30,1751967332,23394,16,16,22492,153,60022,37940,37943,0
2,4,P5-irmao,2,30,1591858072,405,16,16,24225,144,60027,0,30,0
3,1,P0+ipi-thread,2,30,1754350033,20431,16,16,21310,145,60025,37329,37330,0
3,2,P0,2,30,1804626065,290,16,16,28434,159,60045,0,18,0
3,3,P0+ipi-proc,2,30,1753063810,393,16,16,30678,164,60047,0,12,0
3,4,P5-irmao,2,30,1594136359,374,16,16,33995,132,60045,0,0,0
4,1,P0+ipi-thread,2,30,1753387803,18430,16,16,15218,97,60034,38066,38091,0
4,2,P5-irmao,2,30,1588202477,351,16,16,39625,146,60017,0,0,0
4,3,P0+ipi-proc,2,30,1755173297,314,16,16,21100,145,60040,0,18,0
4,4,P0,2,30,1804379278,306,16,16,25528,158,60058,0,0,0
5,1,P0+ipi-thread,2,30,1751445634,25636,16,16,20950,158,60043,37050,37069,0
5,2,P0,2,30,1803277477,283,16,16,21671,143,60049,0,0,0
5,3,P5-irmao,2,30,1588305321,306,16,16,21080,147,60045,0,12,0
5,4,P0+ipi-proc,2,30,1755420648,93,16,16,13666,108,60067,0,0,0
