  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor powersave

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1786 ns  (5.60 GHz)
  frequencia lida do sysfs no mesmo instante:         5.59 GHz

  amostra  ns/operacao   GHz
      254       0.2026   5.53
      255       0.2027   5.53
      256       0.2033   5.53
      257       0.2027   5.53
      258       0.2034   5.53
      259       0.2026   5.53
      260       0.2027   5.53
      261       0.2034   5.53
      262       0.2027   5.53
      263       0.2033   5.53
      264       0.2027   5.53
      265       0.2027   5.53
      266       0.2033   5.53
      267       0.2027   5.53
      268       0.2033   5.53
      269       0.2027   5.53
      270       0.2027   5.53
      271       0.2033   5.53
      272       0.2028   5.53
      273       0.2033   5.53
      274       0.2027   5.53
      275       0.2033   5.53
      276       0.2027   5.53
      277       0.2026   5.53
      278       0.2033   5.53
      279       0.2027   5.53
      280       0.2031   5.53
      281       0.2026   5.53
      282       0.2027   5.53
      283       0.2032   5.53
      284       0.2028   5.53
      285       0.2033   5.53
      286       0.2027   5.53
      287       0.2027   5.53
      288       0.2034   5.53
      289       0.2026   5.53
      290       0.2033   5.53
      291       0.2026   5.53
      292       0.2026   5.53
      293       0.2034   5.53
      294       0.2027   5.53
      295       0.2032   5.53
      296       0.2027   5.53
      297       0.2029   5.53
      298       0.2031   5.53
      299       0.2027   5.53
      300       0.2033   5.53
      301       0.2026   5.53
      302       0.2033   5.53
      303       0.2027   5.53
      304       0.2027   5.53
      305       0.2033   5.53
      306       0.2027   5.53
      307       0.2034   5.53
      308       0.2026   5.53
      309       0.2027   5.53
      310       0.2033   5.53
      311       0.2027   5.53
      312       0.2034   5.53
      313       0.2026   5.53
      314       0.2027   5.53
      315       0.2032   5.53
      316       0.2028   5.53
      317       0.2035   5.53
      318       0.2027   5.53
      319       0.2028   5.53
      320       0.2035   5.53
      321       0.2027   5.53
      322       0.2032   5.53
      323       0.2026   5.53
      324       0.2032   5.53
      325       0.2025   5.53
      326       0.2027   5.53
      327       0.2036   5.53
      328       0.2027   5.53
      329       0.2032   5.53
      330       0.2027   5.53
      331       0.2027   5.53
      332       0.2032   5.53
      333       0.2026   5.53
      334       0.2032   5.53
      335       0.2027   5.53
      336       0.2026   5.53
      337       0.2032   5.53
      338       0.2027   5.53
      339       0.2032   5.53
      340       0.2027   5.53
      341       0.2026   5.53
      342       0.2033   5.53
      343       0.2028   5.53
      344       0.2033   5.53
      345       0.2027   5.53
      346       0.2027   5.53
      347       0.2032   5.53
      348       0.2027   5.53
      349       0.2033   5.53
      350       0.2027   5.53
      351       0.2033   5.53
      352       0.2027   5.53
      353       0.2027   5.53
      354       0.2033   5.53
      355       0.2028   5.53
      356       0.2033   5.53
      357       0.2027   5.53
      358       0.2028   5.53
      359       0.2035   5.53
      360       0.2028   5.53
      361       0.2033   5.53
      362       0.2027   5.53
      363       0.2027   5.53
      364       0.2033   5.53
      365       0.2027   5.53
      366       0.2038   5.53
      367       0.2026   5.53
      368       0.2027   5.53
      369       0.2037   5.53
      370       0.2027   5.53
      371       0.2033   5.53
      372       0.2027   5.53
      373       0.2028   5.53
      374       0.2033   5.53
      375       0.2028   5.53
      376       0.2033   5.53
      377       0.2027   5.53
      378       0.2034   5.53
      379       0.2027   5.53
      380       0.2027   5.53
      381       0.2035   5.53
      382       0.2027   5.53
      383       0.2034   5.53
      384       0.2028   5.53
      385       0.2027   5.53
      386       0.2032   5.53
      387       0.2027   5.53
      388       0.2033   5.53
      389       0.2028   5.53
      390       0.2027   5.53
      391       0.2032   5.53
      392       0.2027   5.53
      393       0.2033   5.53
      394       0.2028   5.53
      395       0.2027   5.53
      396       0.2034   5.53
      397       0.2027   5.53
      398       0.2032   5.53
      399       0.2027   5.53
      400       0.2028   5.53
      401       0.2031   5.53
      402       0.2027   5.53
      403       0.2033   5.53
      404       0.2027   5.53
      405       0.2032   5.53
      406       0.2026   5.53
      407       0.2026   5.53
      408       0.2032   5.53
      409       0.2027   5.53
      410       0.2033   5.53
      411       0.2027   5.53
      412       0.2026   5.53
      413       0.2034   5.53
      414       0.2026   5.53
      415       0.2033   5.53
