  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor powersave

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1791 ns  (5.58 GHz)
  frequencia lida do sysfs no mesmo instante:         5.57 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.2016   5.57
        1       0.2023   5.57
        2       0.2020   5.56
        3       0.2029   5.56
        4       0.2024   5.55
        5       0.2031   5.55
        6       0.2025   5.54
        7       0.2028   5.54
        8       0.2038   5.54
        9       0.2029   5.53
       10       0.2036   5.53
       11       0.2029   5.53
       12       0.2030   5.53
       13       0.2036   5.53
       14       0.2030   5.52
       15       0.2042   5.52
       16       0.2030   5.52
       17       0.2031   5.52
       18       0.2039   5.52
       19       0.2032   5.52
       20       0.2039   5.52
       21       0.2033   5.52
       22       0.2033   5.52
       23       0.2039   5.52
       24       0.2033   5.52
       25       0.2041   5.52
       26       0.2033   5.52
       27       0.2041   5.52
       28       0.2033   5.51
       29       0.2032   5.51
       30       0.2039   5.51
       31       0.2033   5.52
       32       0.2077   5.52
       33       0.2032   5.51
       34       0.2033   5.51
       35       0.2041   5.51
       36       0.2033   5.51
       37       0.2039   5.51
       38       0.2033   5.51
       39       0.2034   5.51
       40       0.2039   5.51
       41       0.2033   5.52
       42       0.2040   5.52
       43       0.2032   5.52
       44       0.2033   5.52
       45       0.2041   5.52
       46       0.2033   5.52
       47       0.2039   5.52
       48       0.2032   5.51
       49       0.2041   5.51
       50       0.2033   5.52
       51       0.2033   5.52
       52       0.2041   5.52
       53       0.2033   5.51
       54       0.2040   5.51
       55       0.2034   5.51
       56       0.2032   5.51
       57       0.2044   5.51
       58       0.2033   5.51
       59       0.2041   5.51
       60       0.2033   5.52
       61       0.2034   5.52
       62       0.2040   5.52
       63       0.2033   5.52
       64       0.2037   5.52
       65       0.2032   5.52
       66       0.2032   5.52
       67       0.2043   5.52
       68       0.2032   5.52
       69       0.2040   5.52
       70       0.2032   5.52
       71       0.2038   5.52
       72       0.2031   5.52
       73       0.2032   5.52
       74       0.2038   5.52
       75       0.2032   5.52
       76       0.2039   5.52
       77       0.2032   5.52
       78       0.2032   5.52
       79       0.2038   5.52
       80       0.2032   5.52
       81       0.2039   5.52
       82       0.2032   5.52
       83       0.2033   5.52
       84       0.2038   5.52
       85       0.2032   5.52
       86       0.2045   5.52
       87       0.2034   5.52
       88       0.2032   5.52
       89       0.2039   5.52
       90       0.2032   5.51
       91       0.2040   5.51
       92       0.2035   5.52
       93       0.2041   5.52
       94       0.2033   5.51
       95       0.2034   5.51
       96       0.2044   5.51
       97       0.2032   5.51
       98       0.2043   5.51
       99       0.2033   5.52
      100       0.2034   5.52
      101       0.2040   5.52
      102       0.2035   5.51
      103       0.2041   5.51
      104       0.2034   5.51
      105       0.2035   5.51
      106       0.2041   5.51
      107       0.2034   5.51
      108       0.2040   5.51
