  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3212 ns  (3.11 GHz)
  frequencia lida do sysfs no mesmo instante:         5.43 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.3367   5.42
        1       0.3362   5.43
        2       0.3366   5.43
        3       0.3376   5.42
        4       0.3373   5.41
        5       0.3382   5.41
        6       0.3382   5.41
        7       0.3386   5.41
        8       0.3368   5.41
        9       0.3385   5.41
       10       0.3393   5.40
       11       0.3381   5.41
       12       0.3389   5.41
       13       0.3389   5.41
       14       0.3371   5.41
       15       0.3373   5.41
       16       0.3369   5.40
       17       0.3370   5.40
       18       0.3368   5.40
       19       0.3368   5.40
       20       0.3360   5.40
       21       0.3363   5.40
       22       0.3362   5.40
       23       0.3358   5.40
       24       0.3361   5.40
       25       0.3359   5.40
       26       0.3358   5.40
       27       0.3364   5.40
       28       0.3360   5.40
       29       0.3357   5.40
       30       0.3362   5.40
       31       0.3368   5.40
       32       0.3364   5.40
       33       0.3365   5.40
       34       0.3369   5.40
       35       0.3365   5.40
       36       0.3369   5.40
       37       0.3366   5.40
       38       0.3360   5.40
       39       0.3352   5.40
       40       0.3358   5.40
       41       0.3360   5.39
       42       0.3354   5.39
       43       0.3356   5.39
       44       0.3359   5.39
       45       0.3356   5.39
       46       0.3359   5.39
       47       0.3364   5.39
       48       0.3358   5.39
       49       0.3359   5.39
       50       0.3351   5.38
       51       0.3354   5.38
       52       0.3357   5.38
       53       0.3358   5.38
       54       0.3348   5.38
       55       0.3360   5.38
       56       0.3354   5.38
       57       0.3347   5.38
       58       0.3355   5.38
       59       0.3351   5.38
       60       0.3363   5.38
       61       0.3357   5.38
       62       0.3358   5.38
       63       0.3358   5.38
       64       0.3359   5.38
       65       0.3359   5.38
       66       0.3357   5.38
       67       0.3357   5.38
       68       0.3367   5.38
       69       0.3360   5.38
       70       0.3368   5.38
       71       0.3363   5.38
       72       0.3365   5.38
       73       0.3365   5.38
       74       0.3367   5.38
       75       0.3355   5.38
       76       0.3370   5.38
       77       0.3372   5.38
       78       0.3369   5.38
       79       0.3364   5.38
       80       0.3369   5.38
       81       0.3368   5.38
       82       0.3357   5.38
       83       0.3373   5.38
       84       0.3368   5.38
       85       0.3359   5.38
       86       0.3367   5.38
       87       0.3366   5.37
       88       0.3356   5.37
       89       0.3368   5.37
       90       0.3370   5.38
       91       0.3363   5.38
       92       0.3375   5.38
       93       0.3372   5.37
       94       0.3352   5.38
       95       0.3365   5.38
       96       0.3362   5.38
       97       0.3354   5.37
       98       0.3368   5.37
       99       0.3371   5.38
      100       0.3364   5.38
      101       0.3364   5.38
      102       0.3366   5.37
      103       0.3357   5.38
      104       0.3366   5.38
      105       0.3365   5.38
      106       0.3356   5.38
      107       0.3364   5.38
      108       0.3364   5.38
      109       0.3359   5.38
      110       0.3371   5.38
      111       0.3367   5.38
      112       0.3366   5.38
      113       0.3360   5.38
      114       0.3364   5.38
      115       0.3356   5.38
      116       0.3372   5.38
      117       0.3367   5.38
      118       0.3366   5.38
      119       0.3351   5.38
      120       0.3360   5.38
      121       0.3362   5.38
      122       0.3364   5.38
      123       0.3359   5.38
      124       0.3363   5.38
      125       0.3358   5.38
      126       0.3375   5.38
      127       0.3375   5.38
      128       0.3362   5.38
      129       0.3361   5.38
      130       0.3358   5.38
      131       0.3365   5.38
      132       0.3366   5.38
      133       0.3360   5.38
      134       0.3364   5.37
      135       0.3366   5.37
      136       0.3370   5.38
      137       0.3367   5.38
      138       0.3371   5.38
      139       0.3367   5.38
      140       0.3349   5.38
      141       0.3365   5.38
      142       0.3368   5.38
      143       0.3351   5.38
      144       0.3367   5.38
