repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,simetrico,256,15971208,4391700000,2000000,1.8183
1,1,26.07,simetrico,256,17158460,4391700000,2000000,1.9535
1,2,25.11,simetrico,64,15963904,4391700000,2000000,1.8175
1,2,26.07,simetrico,64,17153092,4391700000,2000000,1.9529
1,3,25.11,assimetrico,512,26522496,4391700000,2000000,3.0196
1,3,26.07,assimetrico,512,26554220,4391700000,2000000,3.0232
1,4,25.11,simetrico,512,16051728,4391700000,2000000,1.8275
1,4,26.07,simetrico,512,17365700,4391700000,2000000,1.9771
1,5,25.11,assimetrico,256,26835820,4391700000,2000000,3.0553
1,5,26.07,assimetrico,256,27956192,4391700000,2000000,3.1828
1,6,25.11,simetrico,16,20168808,4391700000,2000000,2.2962
1,6,26.07,simetrico,16,19138240,4391700000,2000000,2.1789
1,7,25.11,simetrico,24,15945028,4391700000,2000000,1.8154
1,7,26.07,simetrico,24,19106208,4391700000,2000000,2.1753
1,8,25.11,assimetrico,24,37789576,4391700000,2000000,4.3024
1,8,26.07,assimetrico,24,36872132,4391700000,2000000,4.1979
1,9,25.11,assimetrico,64,31533348,4391700000,2000000,3.5901
1,9,26.07,assimetrico,64,34621444,4391700000,2000000,3.9417
1,10,25.11,assimetrico,32,33474496,4391700000,2000000,3.8111
1,10,26.07,assimetrico,32,33315524,4391700000,2000000,3.7930
1,11,25.11,assimetrico,128,28366404,4391700000,2000000,3.2295
1,11,26.07,assimetrico,128,30250088,4391700000,2000000,3.4440
1,12,25.11,assimetrico,96,28110940,4391700000,2000000,3.2005
1,12,26.07,assimetrico,96,35206908,4391700000,2000000,4.0083
1,13,25.11,assimetrico,48,32764468,4391700000,2000000,3.7303
1,13,26.07,assimetrico,48,33565708,4391700000,2000000,3.8215
1,14,25.11,simetrico,96,15957480,4391700000,2000000,1.8168
1,14,26.07,simetrico,96,17151024,4391700000,2000000,1.9527
1,15,25.11,assimetrico,0,38548488,4391700000,2000000,4.3888
1,15,26.07,assimetrico,0,35589400,4391700000,2000000,4.0519
1,16,25.11,assimetrico,16,36002120,4391700000,2000000,4.0989
1,16,26.07,assimetrico,16,36996960,4391700000,2000000,4.2121
1,17,25.11,simetrico,48,15964828,4391700000,2000000,1.8176
1,17,26.07,simetrico,48,17182748,4391700000,2000000,1.9563
1,18,25.11,simetrico,128,15931608,4391700000,2000000,1.8138
1,18,26.07,simetrico,128,17212712,4391700000,2000000,1.9597
1,19,25.11,simetrico,32,15918628,4391700000,2000000,1.8124
1,19,26.07,simetrico,32,17184596,4391700000,2000000,1.9565
1,20,25.11,simetrico,0,17872008,4391700000,2000000,2.0347
1,20,26.07,simetrico,0,19317980,4391700000,2000000,2.1994
2,1,25.11,simetrico,0,17746960,4391700000,2000000,2.0205
2,1,26.07,simetrico,0,19094152,4391700000,2000000,2.1739
2,2,25.11,simetrico,24,15926108,4391700000,2000000,1.8132
2,2,26.07,simetrico,24,19099784,4391700000,2000000,2.1745
2,3,25.11,assimetrico,32,33424336,4391700000,2000000,3.8054
2,3,26.07,assimetrico,32,33050732,4391700000,2000000,3.7629
2,4,25.11,simetrico,512,15971648,4391700000,2000000,1.8184
2,4,26.07,simetrico,512,17165632,4391700000,2000000,1.9543
2,5,25.11,assimetrico,64,31603000,4391700000,2000000,3.5980
2,5,26.07,assimetrico,64,34607188,4391700000,2000000,3.9401
2,6,25.11,assimetrico,256,26681116,4391700000,2000000,3.0377
2,6,26.07,assimetrico,256,27941584,4391700000,2000000,3.1812
2,7,25.11,simetrico,16,20135808,4391700000,2000000,2.2925
2,7,26.07,simetrico,16,19137492,4391700000,2000000,2.1788
2,8,25.11,simetrico,48,15970548,4391700000,2000000,1.8183
2,8,26.07,simetrico,48,17140200,4391700000,2000000,1.9514
2,9,25.11,simetrico,32,15958844,4391700000,2000000,1.8169
2,9,26.07,simetrico,32,17181868,4391700000,2000000,1.9562
2,10,25.11,simetrico,256,15993164,4391700000,2000000,1.8208
2,10,26.07,simetrico,256,17261112,4391700000,2000000,1.9652
2,11,25.11,assimetrico,0,37507448,4391700000,2000000,4.2703
2,11,26.07,assimetrico,0,35822248,4391700000,2000000,4.0784
2,12,25.11,simetrico,128,15939792,4391700000,2000000,1.8148
2,12,26.07,simetrico,128,17215308,4391700000,2000000,1.9600
2,13,25.11,assimetrico,16,35856920,4391700000,2000000,4.0824
2,13,26.07,assimetrico,16,36299692,4391700000,2000000,4.1328
2,14,25.11,simetrico,96,15948680,4391700000,2000000,1.8158
2,14,26.07,simetrico,96,17196916,4391700000,2000000,1.9579
2,15,25.11,assimetrico,512,26284984,4391700000,2000000,2.9926
2,15,26.07,assimetrico,512,26451128,4391700000,2000000,3.0115
2,16,25.11,assimetrico,48,32723284,4391700000,2000000,3.7256
2,16,26.07,assimetrico,48,33075416,4391700000,2000000,3.7657
2,17,25.11,assimetrico,24,37406424,4391700000,2000000,4.2588
2,17,26.07,assimetrico,24,36247904,4391700000,2000000,4.1269
2,18,25.11,assimetrico,96,28149176,4391700000,2000000,3.2048
2,18,26.07,assimetrico,96,35919708,4391700000,2000000,4.0895
2,19,25.11,simetrico,64,15989864,4391700000,2000000,1.8205
2,19,26.07,simetrico,64,17263268,4391700000,2000000,1.9654
2,20,25.11,assimetrico,128,28118332,4391700000,2000000,3.2013
2,20,26.07,assimetrico,128,30197024,4391700000,2000000,3.4380
3,1,25.11,simetrico,128,15933500,4391700000,2000000,1.8140
3,1,26.07,simetrico,128,17183540,4391700000,2000000,1.9564
3,2,25.11,assimetrico,16,35501312,4391700000,2000000,4.0419
3,2,26.07,assimetrico,16,35686024,4391700000,2000000,4.0629
3,3,25.11,simetrico,0,18298324,4391700000,2000000,2.0833
3,3,26.07,simetrico,0,19238736,4391700000,2000000,2.1904
3,4,25.11,assimetrico,128,28035744,4391700000,2000000,3.1919
3,4,26.07,assimetrico,128,30219684,4391700000,2000000,3.4405
3,5,25.11,assimetrico,48,32932900,4391700000,2000000,3.7494
3,5,26.07,assimetrico,48,33119064,4391700000,2000000,3.7706
3,6,25.11,assimetrico,24,37864508,4391700000,2000000,4.3109
3,6,26.07,assimetrico,24,37075984,4391700000,2000000,4.2211
3,7,25.11,assimetrico,96,28007628,4391700000,2000000,3.1887
3,7,26.07,assimetrico,96,35168628,4391700000,2000000,4.0040
3,8,25.11,simetrico,512,15934996,4391700000,2000000,1.8142
3,8,26.07,simetrico,512,17113228,4391700000,2000000,1.9484
3,9,25.11,assimetrico,0,39276600,4391700000,2000000,4.4717
3,9,26.07,assimetrico,0,36248388,4391700000,2000000,4.1269
3,10,25.11,assimetrico,32,33670824,4391700000,2000000,3.8335
3,10,26.07,assimetrico,32,32913584,4391700000,2000000,3.7472
3,11,25.11,simetrico,32,16023480,4391700000,2000000,1.8243
3,11,26.07,simetrico,32,17359936,4391700000,2000000,1.9764
3,12,25.11,simetrico,24,15949912,4391700000,2000000,1.8159
3,12,26.07,simetrico,24,19194560,4391700000,2000000,2.1853
3,13,25.11,simetrico,96,16023084,4391700000,2000000,1.8242
3,13,26.07,simetrico,96,17136724,4391700000,2000000,1.9510
3,14,25.11,assimetrico,64,31516848,4391700000,2000000,3.5882
3,14,26.07,assimetrico,64,34373416,4391700000,2000000,3.9135
3,15,25.11,assimetrico,512,25719188,4391700000,2000000,2.9282
3,15,26.07,assimetrico,512,26406248,4391700000,2000000,3.0064
3,16,25.11,simetrico,48,15937680,4391700000,2000000,1.8145
3,16,26.07,simetrico,48,17135448,4391700000,2000000,1.9509
3,17,25.11,simetrico,256,16530932,4391700000,2000000,1.8821
3,17,26.07,simetrico,256,17206376,4391700000,2000000,1.9590
3,18,25.11,simetrico,16,20118384,4391700000,2000000,2.2905
3,18,26.07,simetrico,16,19140968,4391700000,2000000,2.1792
3,19,25.11,assimetrico,256,26894208,4391700000,2000000,3.0619
3,19,26.07,assimetrico,256,27677144,4391700000,2000000,3.1511
3,20,25.11,simetrico,64,15948284,4391700000,2000000,1.8157
3,20,26.07,simetrico,64,17141476,4391700000,2000000,1.9516
4,1,25.11,simetrico,96,15968876,4391700000,2000000,1.8181
4,1,26.07,simetrico,96,17172892,4391700000,2000000,1.9552
4,2,25.11,assimetrico,64,31282108,4391700000,2000000,3.5615
4,2,26.07,assimetrico,64,34904276,4391700000,2000000,3.9739
4,3,25.11,assimetrico,96,28168580,4391700000,2000000,3.2070
4,3,26.07,assimetrico,96,35289012,4391700000,2000000,4.0177
