  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3131 ns  (3.19 GHz)
  frequencia lida do sysfs no mesmo instante:         5.45 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.3382   5.45
        1       0.3379   5.45
        2       0.3383   5.44
        3       0.3385   5.44
        4       0.3392   5.44
        5       0.3386   5.44
        6       0.3394   5.44
        7       0.3389   5.44
        8       0.3372   5.44
        9       0.3382   5.44
       10       0.3386   5.43
       11       0.3382   5.43
       12       0.3391   5.43
       13       0.3389   5.43
       14       0.3383   5.43
       15       0.3391   5.43
       16       0.3379   5.43
       17       0.3375   5.42
       18       0.3362   5.42
       19       0.3367   5.42
       20       0.3359   5.41
       21       0.3350   5.41
       22       0.3350   5.41
       23       0.3350   5.40
       24       0.3338   5.40
       25       0.3343   5.40
       26       0.3346   5.40
       27       0.3355   5.40
       28       0.3348   5.40
       29       0.3342   5.40
       30       0.3346   5.40
       31       0.3343   5.40
       32       0.3352   5.39
       33       0.3343   5.39
       34       0.3348   5.39
       35       0.3346   5.39
       36       0.3337   5.39
       37       0.3349   5.39
       38       0.3344   5.39
       39       0.3353   5.39
       40       0.3347   5.39
       41       0.3350   5.39
       42       0.3342   5.39
       43       0.3350   5.39
       44       0.3349   5.39
       45       0.3342   5.39
       46       0.3354   5.39
       47       0.3350   5.39
       48       0.3338   5.39
       49       0.3349   5.39
       50       0.3340   5.38
       51       0.3345   5.39
       52       0.3350   5.39
       53       0.3343   5.39
       54       0.3340   5.39
       55       0.3341   5.39
       56       0.3343   5.38
       57       0.3344   5.38
       58       0.3349   5.38
       59       0.3346   5.39
       60       0.3342   5.39
       61       0.3337   5.39
       62       0.3350   5.39
       63       0.3355   5.38
       64       0.3342   5.38
       65       0.3344   5.38
       66       0.3348   5.39
       67       0.3343   5.39
       68       0.3343   5.38
       69       0.3332   5.38
       70       0.3349   5.38
       71       0.3346   5.39
       72       0.3340   5.39
       73       0.3344   5.39
       74       0.3342   5.38
       75       0.3340   5.38
       76       0.3347   5.38
       77       0.3345   5.39
       78       0.3345   5.39
       79       0.3350   5.38
       80       0.3348   5.38
       81       0.3349   5.39
       82       0.3342   5.38
       83       0.3347   5.38
       84       0.3349   5.38
       85       0.3343   5.39
       86       0.3351   5.39
       87       0.3354   5.39
       88       0.3337   5.39
       89       0.3341   5.39
       90       0.3342   5.38
       91       0.3336   5.39
       92       0.3347   5.39
       93       0.3346   5.39
       94       0.3334   5.39
       95       0.3339   5.39
       96       0.3337   5.38
       97       0.3334   5.38
       98       0.3345   5.38
       99       0.3341   5.38
      100       0.3341   5.39
      101       0.3344   5.39
      102       0.3346   5.39
      103       0.3339   5.39
      104       0.3339   5.39
      105       0.3345   5.39
      106       0.3346   5.39
      107       0.3348   5.39
      108       0.3347   5.39
      109       0.3347   5.38
      110       0.3346   5.38
      111       0.3347   5.38
      112       0.3344   5.38
      113       0.3341   5.38
      114       0.3340   5.38
      115       0.3337   5.39
      116       0.3338   5.39
      117       0.3340   5.38
      118       0.3339   5.38
      119       0.3348   5.38
      120       0.3343   5.39
      121       0.3332   5.39
      122       0.3334   5.39
      123       0.3344   5.39
      124       0.3338   5.38
      125       0.3342   5.38
      126       0.3336   5.39
      127       0.3334   5.38
      128       0.3347   5.38
      129       0.3343   5.38
      130       0.3336   5.39
