repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
3,2,25.11,assimetrico,512,34638076,4391800000,2000000,3.9435
3,2,26.07,assimetrico,512,34529396,4391800000,2000000,3.9311
3,3,25.11,simetrico,128,20663632,4391800000,2000000,2.3525
3,3,26.07,simetrico,128,22232892,4391800000,2000000,2.5312
3,4,25.11,assimetrico,32,42888956,4391800000,2000000,4.8828
3,4,26.07,assimetrico,32,42055376,4391800000,2000000,4.7879
3,5,25.11,simetrico,16,26084520,4391800000,2000000,2.9697
3,5,26.07,simetrico,16,24929124,4391800000,2000000,2.8381
3,6,25.11,assimetrico,24,48829836,4391800000,2000000,5.5592
3,6,26.07,assimetrico,24,47702336,4391800000,2000000,5.4308
3,7,25.11,simetrico,256,21155596,4391800000,2000000,2.4085
3,7,26.07,simetrico,256,22168168,4391800000,2000000,2.5238
3,8,25.11,assimetrico,128,37356264,4391800000,2000000,4.2530
3,8,26.07,assimetrico,128,39631988,4391800000,2000000,4.5120
3,9,25.11,assimetrico,256,35234760,4391800000,2000000,4.0114
3,9,26.07,assimetrico,256,36382104,4391800000,2000000,4.1420
3,10,25.11,simetrico,32,20647660,4391800000,2000000,2.3507
3,10,26.07,simetrico,32,22164340,4391800000,2000000,2.5234
3,11,25.11,assimetrico,64,41211632,4391800000,2000000,4.6919
3,11,26.07,assimetrico,64,45446984,4391800000,2000000,5.1741
3,12,25.11,simetrico,96,20627684,4391800000,2000000,2.3484
3,12,26.07,simetrico,96,22189684,4391800000,2000000,2.5263
3,13,25.11,assimetrico,96,37327972,4391800000,2000000,4.2497
3,13,26.07,assimetrico,96,46189396,4391800000,2000000,5.2586
3,14,25.11,simetrico,24,20654304,4391800000,2000000,2.3515
3,14,26.07,simetrico,24,24717836,4391800000,2000000,2.8141
3,15,25.11,assimetrico,16,46493744,4391800000,2000000,5.2932
3,15,26.07,assimetrico,16,48496360,4391800000,2000000,5.5212
3,16,25.11,simetrico,512,20586236,4391800000,2000000,2.3437
3,16,26.07,simetrico,512,22328636,4391800000,2000000,2.5421
3,17,25.11,assimetrico,0,49032060,4391800000,2000000,5.5822
3,17,26.07,assimetrico,0,47141204,4391800000,2000000,5.3670
3,18,25.11,simetrico,48,20681672,4391800000,2000000,2.3546
3,18,26.07,simetrico,48,22188540,4391800000,2000000,2.5261
3,19,25.11,simetrico,0,24353692,4391800000,2000000,2.7726
3,19,26.07,simetrico,0,24415600,4391800000,2000000,2.7797
3,20,25.11,simetrico,64,20712604,4391800000,2000000,2.3581
3,20,26.07,simetrico,64,22175604,4391800000,2000000,2.5247
4,1,25.11,simetrico,24,20636836,4391800000,2000000,2.3495
4,1,26.07,simetrico,24,24799852,4391800000,2000000,2.8234
4,2,25.11,assimetrico,128,38305564,4391800000,2000000,4.3610
4,2,26.07,assimetrico,128,38528160,4391800000,2000000,4.3864
4,3,25.11,assimetrico,48,42365092,4391800000,2000000,4.8232
4,3,26.07,assimetrico,48,41885800,4391800000,2000000,4.7686
4,4,25.11,assimetrico,16,46687520,4391800000,2000000,5.3153
4,4,26.07,assimetrico,16,46832016,4391800000,2000000,5.3318
4,5,25.11,simetrico,96,20658220,4391800000,2000000,2.3519
4,5,26.07,simetrico,96,22209088,4391800000,2000000,2.5285
4,6,25.11,simetrico,128,20722196,4391800000,2000000,2.3592
4,6,26.07,simetrico,128,22176528,4391800000,2000000,2.5248
4,7,25.11,assimetrico,32,44418264,4391800000,2000000,5.0570
4,7,26.07,assimetrico,32,42937136,4391800000,2000000,4.8883
4,8,25.11,assimetrico,0,50575272,4391800000,2000000,5.7579
4,8,26.07,assimetrico,0,47493292,4391800000,2000000,5.4070
4,9,25.11,simetrico,0,23007952,4391800000,2000000,2.6194
4,9,26.07,simetrico,0,24446444,4391800000,2000000,2.7832
4,10,25.11,simetrico,64,20632128,4391800000,2000000,2.3489
4,10,26.07,simetrico,64,22208560,4391800000,2000000,2.5284
4,11,25.11,assimetrico,256,34222716,4391800000,2000000,3.8962
4,11,26.07,assimetrico,256,35464704,4391800000,2000000,4.0376
4,12,25.11,simetrico,32,20680792,4391800000,2000000,2.3545
4,12,26.07,simetrico,32,22121616,4391800000,2000000,2.5185
4,13,25.11,simetrico,16,26131688,4391800000,2000000,2.9751
4,13,26.07,simetrico,16,24668864,4391800000,2000000,2.8085
4,14,25.11,assimetrico,96,36463988,4391800000,2000000,4.1514
4,14,26.07,assimetrico,96,46059684,4391800000,2000000,5.2438
4,15,25.11,assimetrico,64,41465864,4391800000,2000000,4.7208
4,15,26.07,assimetrico,64,45605384,4391800000,2000000,5.1921
4,16,25.11,simetrico,48,20620028,4391800000,2000000,2.3476
4,16,26.07,simetrico,48,22130064,4391800000,2000000,2.5195
4,17,25.11,assimetrico,24,48839340,4391800000,2000000,5.5603
4,17,26.07,assimetrico,24,47259476,4391800000,2000000,5.3804
4,18,25.11,simetrico,512,20596400,4391800000,2000000,2.3449
4,18,26.07,simetrico,512,22149996,4391800000,2000000,2.5217
4,19,25.11,assimetrico,512,34314324,4391800000,2000000,3.9066
4,19,26.07,assimetrico,512,34749836,4391800000,2000000,3.9562
4,20,25.11,simetrico,256,20728972,4391800000,2000000,2.3600
4,20,26.07,simetrico,256,22167904,4391800000,2000000,2.5238
5,1,25.11,simetrico,64,20587116,4391800000,2000000,2.3438
5,1,26.07,simetrico,64,22167244,4391800000,2000000,2.5237
5,2,25.11,assimetrico,512,34051732,4391800000,2000000,3.8767
5,2,26.07,assimetrico,512,34104444,4391800000,2000000,3.8827
5,3,25.11,assimetrico,0,49921344,4391800000,2000000,5.6835
5,3,26.07,assimetrico,0,47130908,4391800000,2000000,5.3658
5,4,25.11,simetrico,0,22940808,4391800000,2000000,2.6118
5,4,26.07,simetrico,0,24444288,4391800000,2000000,2.7829
5,5,25.11,simetrico,16,26093848,4391800000,2000000,2.9707
5,5,26.07,simetrico,16,24799676,4391800000,2000000,2.8234
5,6,25.11,assimetrico,64,41764404,4391800000,2000000,4.7548
5,6,26.07,assimetrico,64,44853644,4391800000,2000000,5.1065
5,7,25.11,simetrico,96,20620952,4391800000,2000000,2.3477
5,7,26.07,simetrico,96,22195228,4391800000,2000000,2.5269
5,8,25.11,assimetrico,48,42347844,4391800000,2000000,4.8212
5,8,26.07,assimetrico,48,42646736,4391800000,2000000,4.8553
5,9,25.11,simetrico,256,20620160,4391800000,2000000,2.3476
5,9,26.07,simetrico,256,22226116,4391800000,2000000,2.5304
5,10,25.11,assimetrico,256,35017972,4391800000,2000000,3.9867
5,10,26.07,assimetrico,256,36317820,4391800000,2000000,4.1347
5,11,25.11,assimetrico,24,47296876,4391800000,2000000,5.3847
5,11,26.07,assimetrico,24,47988072,4391800000,2000000,5.4634
5,12,25.11,simetrico,48,20662356,4391800000,2000000,2.3524
5,12,26.07,simetrico,48,22191268,4391800000,2000000,2.5264
5,13,25.11,assimetrico,32,43392140,4391800000,2000000,4.9401
