repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,assimetrico,16,35306436,4391800000,2000000,4.0196
1,1,26.07,assimetrico,16,35958164,4391800000,2000000,4.0938
1,2,25.11,simetrico,0,18101248,4391800000,2000000,2.0608
1,2,26.07,simetrico,0,19464280,4391800000,2000000,2.2160
1,3,25.11,assimetrico,24,37079768,4391800000,2000000,4.2215
1,3,26.07,assimetrico,24,35424136,4391800000,2000000,4.0330
1,4,25.11,simetrico,128,15938076,4391800000,2000000,1.8145
1,4,26.07,simetrico,128,17150100,4391800000,2000000,1.9525
1,5,25.11,simetrico,24,15953828,4391800000,2000000,1.8163
1,5,26.07,simetrico,24,19066212,4391800000,2000000,2.1707
1,6,25.11,assimetrico,48,32896908,4391800000,2000000,3.7453
1,6,26.07,assimetrico,48,32708236,4391800000,2000000,3.7238
1,7,25.11,simetrico,16,20148788,4391800000,2000000,2.2939
1,7,26.07,simetrico,16,19175860,4391800000,2000000,2.1831
1,8,25.11,assimetrico,128,28827656,4391800000,2000000,3.2820
1,8,26.07,assimetrico,128,29627444,4391800000,2000000,3.3730
1,9,25.11,simetrico,96,15946480,4391800000,2000000,1.8155
1,9,26.07,simetrico,96,17141300,4391800000,2000000,1.9515
1,10,25.11,simetrico,256,15969624,4391800000,2000000,1.8181
1,10,26.07,simetrico,256,17215616,4391800000,2000000,1.9600
1,11,25.11,simetrico,64,15991316,4391800000,2000000,1.8206
1,11,26.07,simetrico,64,17179228,4391800000,2000000,1.9558
1,12,25.11,assimetrico,96,28370056,4391800000,2000000,3.2299
1,12,26.07,assimetrico,96,35446004,4391800000,2000000,4.0355
1,13,25.11,assimetrico,256,26798068,4391800000,2000000,3.0509
1,13,26.07,assimetrico,256,26939396,4391800000,2000000,3.0670
1,14,25.11,assimetrico,64,31219364,4391800000,2000000,3.5543
1,14,26.07,assimetrico,64,34809852,4391800000,2000000,3.9631
1,15,25.11,simetrico,32,15957348,4391800000,2000000,1.8167
1,15,26.07,simetrico,32,17107640,4391800000,2000000,1.9477
1,16,25.11,simetrico,48,15946568,4391800000,2000000,1.8155
1,16,26.07,simetrico,48,17146052,4391800000,2000000,1.9521
1,17,25.11,simetrico,512,15951892,4391800000,2000000,1.8161
1,17,26.07,simetrico,512,17099588,4391800000,2000000,1.9468
1,18,25.11,assimetrico,32,33534776,4391800000,2000000,3.8179
1,18,26.07,assimetrico,32,32486124,4391800000,2000000,3.6985
1,19,25.11,assimetrico,512,26251368,4391800000,2000000,2.9887
1,19,26.07,assimetrico,512,26434276,4391800000,2000000,3.0095
1,20,25.11,assimetrico,0,39000016,4391800000,2000000,4.4401
1,20,26.07,assimetrico,0,36920180,4391800000,2000000,4.2033
2,1,25.11,simetrico,32,15938604,4391800000,2000000,1.8146
2,1,26.07,simetrico,32,17181736,4391800000,2000000,1.9561
2,2,25.11,assimetrico,96,28368340,4391800000,2000000,3.2297
2,2,26.07,assimetrico,96,35222440,4391800000,2000000,4.0100
2,3,25.11,assimetrico,512,26372896,4391800000,2000000,3.0025
2,3,26.07,assimetrico,512,26542208,4391800000,2000000,3.0218
2,4,25.11,simetrico,24,15987532,4391800000,2000000,1.8202
2,4,26.07,simetrico,24,19259152,4391800000,2000000,2.1926
2,5,25.11,simetrico,96,15935920,4391800000,2000000,1.8143
2,5,26.07,simetrico,96,17156392,4391800000,2000000,1.9532
2,6,25.11,simetrico,64,15921664,4391800000,2000000,1.8127
2,6,26.07,simetrico,64,17126472,4391800000,2000000,1.9498
2,7,25.11,simetrico,0,18096012,4391800000,2000000,2.0602
2,7,26.07,simetrico,0,19519940,4391800000,2000000,2.2223
2,8,25.11,assimetrico,128,28515432,4391800000,2000000,3.2464
2,8,26.07,assimetrico,128,29987540,4391800000,2000000,3.4140
2,9,25.11,assimetrico,256,27021148,4391800000,2000000,3.0763
2,9,26.07,assimetrico,256,28108872,4391800000,2000000,3.2002
2,10,25.11,assimetrico,16,35448116,4391800000,2000000,4.0357
2,10,26.07,assimetrico,16,36379992,4391800000,2000000,4.1418
2,11,25.11,simetrico,256,15925228,4391800000,2000000,1.8131
2,11,26.07,simetrico,256,17156788,4391800000,2000000,1.9533
2,12,25.11,simetrico,128,15922016,4391800000,2000000,1.8127
2,12,26.07,simetrico,128,17199776,4391800000,2000000,1.9582
2,13,25.11,assimetrico,0,38211052,4391800000,2000000,4.3503
2,13,26.07,assimetrico,0,35667896,4391800000,2000000,4.0607
2,14,25.11,simetrico,16,20140648,4391800000,2000000,2.2930
2,14,26.07,simetrico,16,19098288,4391800000,2000000,2.1743
2,15,25.11,assimetrico,32,33408276,4391800000,2000000,3.8035
2,15,26.07,assimetrico,32,32598632,4391800000,2000000,3.7113
2,16,25.11,assimetrico,64,31557900,4391800000,2000000,3.5928
2,16,26.07,assimetrico,64,34174668,4391800000,2000000,3.8907
2,17,25.11,simetrico,512,15924304,4391800000,2000000,1.8130
2,17,26.07,simetrico,512,17212668,4391800000,2000000,1.9596
2,18,25.11,assimetrico,24,36922908,4391800000,2000000,4.2036
2,18,26.07,assimetrico,24,37205608,4391800000,2000000,4.2358
2,19,25.11,simetrico,48,15930684,4391800000,2000000,1.8137
2,19,26.07,simetrico,48,17144996,4391800000,2000000,1.9519
2,20,25.11,assimetrico,48,32905136,4391800000,2000000,3.7462
2,20,26.07,assimetrico,48,32493164,4391800000,2000000,3.6993
3,1,25.11,simetrico,32,15951716,4391800000,2000000,1.8161
3,1,26.07,simetrico,32,17164840,4391800000,2000000,1.9542
3,2,25.11,simetrico,24,16062420,4391800000,2000000,1.8287
3,2,26.07,simetrico,24,19126448,4391800000,2000000,2.1775
3,3,25.11,simetrico,48,15968832,4391800000,2000000,1.8180
3,3,26.07,simetrico,48,17233964,4391800000,2000000,1.9621
