repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P5-irmao,2,30,1606354365,448,16,16,86665,194,60017,0,0,0
1,2,P0+ipi-thread,2,30,1755540184,17804,16,16,28023,206,60033,37790,37791,0
1,3,P0+ipi-proc,2,30,1756575146,153,16,16,17974,149,60041,0,0,0
1,4,P0,2,30,1806743926,248,16,16,23354,231,60047,0,0,0
2,1,P5-irmao,2,30,1595095935,423,16,16,26390,206,60012,0,0,0
2,2,P0+ipi-proc,2,30,1756837021,245,16,16,26380,222,60052,0,0,0
2,3,P0+ipi-thread,2,30,1754650534,16517,16,16,17423,217,60051,37872,37873,0
2,4,P0,2,30,1806461153,370,16,16,360443,252,60030,1,15,0
3,1,P0+ipi-thread,2,30,1753585164,14667,16,16,749019,223,60041,37896,37897,0
3,2,P0+ipi-proc,2,30,1755183927,149,16,16,21701,153,60064,0,6,0
3,3,P0,2,30,1805687039,232,16,16,494947,229,60071,0,0,0
3,4,P5-irmao,2,30,1597124819,248,16,16,30929,179,60045,0,0,0
4,1,P0+ipi-thread,2,30,1754880459,17074,16,16,31820,224,60027,37986,37987,0
4,2,P0+ipi-proc,2,30,1755701452,146,16,16,19857,144,60041,0,6,0
4,3,P0,2,30,1805772923,294,16,16,784116,244,60043,2,18,0
4,4,P5-irmao,2,30,1599151950,261,16,16,25759,200,60044,0,3,0
5,1,P0+ipi-proc,2,30,1755836938,311,16,16,20759,232,60056,0,0,0
5,2,P0+ipi-thread,2,30,1754074490,23529,16,16,23935,238,60045,37983,37985,0
5,3,P5-irmao,2,30,1598303272,239,16,16,21571,192,60020,0,0,0
5,4,P0,2,30,1808193443,240,16,16,27232,224,60040,0,0,0
